episode_number,title,synopsis,air_date
1,"The Warrior's Awakening",,2001-01-28
2,"Blue Storm",,2001-02-04
3,"My Transformation!",,2001-02-11
4,"Puzzle Decoding",,2001-02-18
5,"The Third Warrior",,2001-02-25
6,"Sorrowful Monstrous Fist",,2001-03-04
7,"A Piece of a Memory",,2001-03-11
8,"Sword of Red Flames",,2001-03-18
9,"The Two G3s",,2001-03-25
10,"Silver Points and Lines",,2001-04-01
11,"The Past Tied Together",,2001-04-08
12,"The Crash in the Lake!",,2001-04-15
13,"Dad's Clue",,2001-04-22
14,"The Strongest Kick",,2001-04-29
15,"A Trap Begins",,2001-05-06
16,"A Suspicious Woman...",,2001-05-13
17,"Capture Tactics!",,2001-05-20
18,"The New Boss",,2001-05-27
19,"Breakup Decision?",,2001-06-03
20,"That Awakening",,2001-06-10
21,"Rampaging Power",,2001-06-24
22,"Fateful Showdown",,2001-07-01
23,"The Qualified Person",,2001-07-08
24,"The Flawless Machine",,2001-07-15
25,"Another Clash!",,2001-07-22
26,"Restored Memories",,2001-07-29
27,"Ryo Dies...",,2001-08-05
28,"That Summer Day",,2001-08-12
29,"A Numerical Mystery!?",,2001-08-19
30,"Hidden Power",,2001-08-26
31,"A Person's Whereabouts",,2001-09-02
32,"Gills Resurrection",,2001-09-09
33,"The Enemy Who Appeared",,2001-09-16
34,"Summoning Souls to Meet",,2001-09-23
35,"The Mysterious Messiah",,2001-09-30
36,"The Fourth Man",,2001-10-07
37,"The Warrior of Darkness",,2001-10-14
38,"The True Identity...",,2001-10-21
39,"Gills Howl",,2001-10-28
40,"United Front!",,2001-11-11
41,"Light and Darkness",,2001-11-18
42,"The Akatsuki",,2001-11-25
43,"The Darkness That Begins to Move",,2001-12-02
44,"Dad and Older Sister and...",,2001-12-09
45,"Stolen Power",,2001-12-16
46,"Warriors, Those Bonds",,2001-12-23
47,"The Mystery of the Sky!",,2001-12-30
48,"The Governor of Stars",,2002-01-06
49,"Footsteps of Destruction",,2002-01-13
50,"Now, Time to Battle",,2002-01-20
51,"AGITO",,2002-01-27
