episode_number,title,synopsis,air_date
1,"The Indigo Warrior",,2004-01-25
2,"The Mysterious Rider",,2004-02-01
3,"Their Secret...",,2004-02-08
4,"Immortality's Mysteries",,2004-02-15
5,"The Challenge to the Past",,2004-02-22
6,"Chalice's True Identity",,2004-02-29
7,"The Trapped Two",,2004-03-07
8,"The Revived People",,2004-03-14
9,"A Fighter's Destiny",,2004-03-21
10,"The Manipulated Warrior",,2004-03-28
11,"The Whereabouts of Each",,2004-04-04
12,"Category Ace",,2004-04-11
13,"The Golden-Threaded Trap",,2004-04-18
14,"Ace Sealed!",,2004-04-25
15,"Fate's Conformer",,2004-05-02
16,"Leangle's Power",,2004-05-09
17,"The Evil Belt",,2004-05-16
18,"Spirits That Manipulate Darkness",,2004-05-23
19,"One Who Conquers Darkness",,2004-05-30
20,"The Target is Kotaro",,2004-06-06
21,"Battles That Feel for Friends",,2004-06-13
22,"The Escape From Darkness",,2004-06-27
23,"Who Are You?",,2004-07-04
24,"Mysterious Hunters",,2004-07-11
25,"A Traitor's Sprint",,2004-07-18
26,"The Power Which Moves Me",,2004-07-25
27,"The Trembling Heart...",,2004-08-01
28,"A Dangerous Gamble!?",,2004-08-08
29,"The Two Chalices",,2004-08-15
30,"Lost Memories",,2004-08-22
31,"The 53rd Being",,2004-09-05
32,"The Destroyer's Secret",,2004-09-12
33,"The Targeted Kenzaki",,2004-09-19
34,"Category King",,2004-09-26
35,"A Dangerous Transformation!?",,2004-10-03
36,"Strongest Form",,2004-10-10
37,"Towards a New Destiny",,2004-10-17
38,"One Who Takes Hold of Destiny",,2004-10-24
39,"Reunion...Father and Daughter",,2004-10-31
40,"Parting With the Past",,2004-11-14
41,"A Desire to Get Stronger",,2004-11-21
42,"Leangle Revives",,2004-11-28
43,"Foe or Friend?",,2004-12-05
44,"Four of a Kind",,2004-12-12
45,"The New Card",,2004-12-19
46,"The Ruler's Seal",,2005-01-02
47,"Garren Eliminated",,2005-01-09
48,"Prologue to Destruction",,2005-01-16
49,"The Eternal Trump",,2005-01-23
