episode_number,title,synopsis,air_date
1,"Courier's Handle",,2024-03-03
2,"The Informer Does Not Approve",,2024-03-10
3,"The Motorist Won't Stop",,2024-03-17
4,"A Voice Calling for a Hero",,2024-03-24
5,"The Police Officer Will Not Falter",,2024-03-31
6,"White and Black",,2024-04-07
7,"Procurer's Brake",,2024-04-14
8,"Runaway and Divide",,2024-04-21
9,"Couriers' Handles",,2024-04-28
10,"An Exciting Mission",,2024-05-05
11,"What the Boy Wants",,2024-05-12
12,"Bakuage Engine",,2024-05-19
13,"Treacherous Procurement",,2024-05-26
14,"Cool and Wild",,2024-06-02
15,"Lock and Key",,2024-06-09
16,"Violet Settler",,2024-06-16
17,"Bun and Byun",,2024-06-23
18,"The Settler Can't Stand It",,2024-06-30
19,"Amanogawa and the Path of Heaven",,2024-07-07
20,"Yesterday Once More",,2024-07-14
21,"Flaming Delivery",,2024-07-21
22,"Lion's Flaming Fury",,2024-07-28
23,"Flaming Adversity Baseball",,2024-08-04
24,"The Song I Want to Deliver",,2024-08-11
25,"Six Fireworks",,2024-08-18
26,"Secrets of the Universe",,2024-08-25
27,"Not an Easy Choice",,2024-09-01
28,"Shaking Off the Light",,2024-09-08
29,"Spy and Family",,2024-09-15
30,"The Rampage Is Mine",,2024-09-22
31,"A Magnificent Challenge",,2024-09-29
32,"Hell's Train",,2024-10-06
33,"The Procurer Won't Give In",,2024-10-13
34,"Cars That Carry Dreams",,2024-10-20
35,"Blue Champion",,2024-10-27
36,"The Road to Dreams",,2024-11-10
37,"Two Spies",,2024-11-17
38,"Vow of the Underlings",,2024-11-24
39,"Screaming Planet",,2024-12-01
40,"The Immeasurable Man",,2024-12-08
41,"A Supportive Back",,2024-12-15
42,"Holy Night Presents",,2024-12-22
43,"Powerful Handle",,2025-01-05
44,"The Courier Doesn't Arrive",,2025-01-12
45,"Enemies of the Earth",,2025-01-19
46,"The Future Is in Your Hands",,2025-01-26
47,"There Is More Than One Courier",,2025-02-02
48,"Your Handle",,2025-02-09
