episode_number,title,synopsis,air_date
1,"The Ones Who Were The Best Match",,2017-09-03
2,"Innocent Runaway",,2017-09-10
3,"Borderline of Justice",,2017-09-17
4,"The Testimony Will Be Zero",,2017-09-24
5,"Dangerous Identity",,2017-10-01
6,"Moonsault of Anger",,2017-10-08
7,"The Devil's Scientist",,2017-10-15
8,"Memory Starts to Talk",,2017-10-22
9,"The Trap of Project Build",,2017-10-29
10,"Technology of Destruction",,2017-11-12
11,"Burn, Dragon",,2017-11-19
12,"Conspiracy Theory",,2017-11-26
13,"Who Takes Off the Veil?",,2017-12-03
14,"The False Kamen Rider",,2017-12-10
15,"Judge Sento Kiryū!",,2017-12-17
16,"The Weaponry Hero",,2017-12-24
17,"The Outbreak of the Rider Wars",,2018-01-07
18,"The Golden Soldier",,2018-01-14
19,"The Forbidden Item",,2018-01-21
20,"Devil's Trigger",,2018-01-28
21,"The Unstoppable Hazard",,2018-02-04
22,"Victory of Tears",,2018-02-11
23,"The Phantom of the West",,2018-02-18
24,"The Man Called Rogue",,2018-02-25
25,"The Idol's Awakening",,2018-03-04
26,"The Treacherous Deathmatch",,2018-03-11
27,"The Counterattack Hero",,2018-03-18
28,"The Genius Arrives With a Tank",,2018-03-25
29,"The Opening Bell Rings",,2018-04-01
30,"The Truth of the Pandora Box",,2018-04-08
31,"Surge Out, Magma!",,2018-04-15
32,"A Programmed Tragedy",,2018-04-22
33,"The Final Weapon: Evol",,2018-04-29
34,"The Best Match is Dissolved",,2018-05-06
35,"The Tower of Destruction",,2018-05-13
36,"Evolto Hunts Planets",,2018-05-20
37,"The Ultimate Phase",,2018-05-27
38,"Mad World",,2018-06-03
39,"The Unstoppable Genius",,2018-06-10
40,"The Final Revolution",,2018-06-17
41,"The Truth of the Best Match",,2018-06-24
42,"Legacy of Doubt",,2018-07-01
43,"Another Build",,2018-07-08
44,"The End of Evolto",,2018-07-15
45,"The Scientist of Hope",,2018-07-22
46,"An Oath to Be the One",,2018-07-29
47,"Zero Degree Flames",,2018-08-12
48,"To a World of Love & Peace",,2018-08-19
49,"The Tomorrow Build Will Create",,2018-08-26
