episode_number,title,synopsis,air_date
1,"Rider War",,2009-01-25
2,"The World of Kuuga",,2009-02-01
3,"Transcendence",,2009-02-08
4,"Second Movement ♬ Prince Kiva",,2009-02-15
5,"The Biting King's Qualifications",,2009-02-22
6,"Battle Trial: Ryuki World",,2009-03-01
7,"Super Trick of the Real Criminal",,2009-03-08
8,"Welcome to Blade Cafeteria",,2009-03-15
9,"Blade Blade",,2009-03-22
10,"Faiz High School's Phantom Thief",,2009-03-29
11,"555 Faces, 1 Treasure",,2009-04-05
12,"Reunion: Project Agito",,2009-04-12
13,"Awakening: Tornado of Souls",,2009-04-19
14,"Cho-Den-O Beginning",,2009-04-26
15,"Here Comes Super Momotaros!",,2009-05-03
16,"Warning: Kabuto Running Amok",,2009-05-10
17,"The Grandma Way of Taste",,2009-05-17
18,"Idle Hibiki",,2009-05-24
19,"Ending Journey",,2009-05-31
20,"The World of Negatives' Dark Riders",,2009-06-07
21,"The Walking All-Rider Album",,2009-06-14
22,"Wanted: Diend",,2009-06-28
23,"End of Diend",,2009-07-05
24,"The Arrival of the Samurai Sentai",,2009-07-12
25,"Heretic Rider, Go Forth!",,2009-07-19
26,"RX! Dai-Shocker Attack",,2009-07-26
27,"Black × Black RX",,2009-08-02
28,"Amazon, Friend",,2009-08-09
29,"The Strong, Naked, Strong Guy",,2009-08-16
30,"Rider War: Prologue",,2009-08-23
31,"The Destroyer of Worlds",,2009-08-30
