episode_number,title,synopsis,air_date
1,"Here I Come!",,2007-01-28
2,"Ride on Time",,2007-02-04
3,"Outlaw Momotarō",,2007-02-11
4,"Get Out, Oni! I'm Serious",,2007-02-18
5,"Will You Let Me Fish You?",,2007-02-25
6,"A Swindler's Dignity",,2007-03-04
7,"Jealousy Bomber",,2007-03-11
8,"Sad Melody, Loving Memory",,2007-03-18
9,"You Wept Over My Strength",,2007-03-25
10,"Hana in a Stormy Singularity Point",,2007-04-01
11,"Madness, Delusion, Baby's Breath",,2007-04-08
12,"Run Taros!",,2007-04-15
13,"Okay? Your Answer Doesn't Matter",,2007-04-22
14,"Dance With Dragon",,2007-04-29
15,"Bath Jack Panic",,2007-05-06
16,"Star of Happiness, Criminal's Surrender",,2007-05-13
17,"That Guy Just Now! Already in the Past?",,2007-05-20
18,"A Clockwork Fiance",,2007-05-27
19,"That Man, Zero's Start",,2007-06-03
20,"Let Me Say This to Start",,2007-06-10
21,"Fighting Style",,2007-06-24
22,"An Unspeakable Future",,2007-07-01
23,"Enter the Prince, Kneel Down to Him!",,2007-07-08
24,"The Prince's Goodbye Lullaby",,2007-07-15
25,"Climax Double Jump",,2007-07-22
26,"The Ticket to God's Line",,2007-07-29
27,"Schedule-Disrupting Fang",,2007-08-05
28,"Too Lucky, Too Excited, Too Strange",,2007-08-12
29,"Lucky Horror Show",,2007-08-19
30,"Madam, How About the Fireworks?",,2007-08-26
31,"Ai Need Yu",,2007-09-02
32,"Last Train Card Zero!",,2007-09-09
33,"Time Traveler Kohana",,2007-09-16
34,"The Time Interval Pianist",,2007-09-23
35,"Tragic Resurrection Card Zero",,2007-09-30
36,"No Possession, No Secession, Train Slash!",,2007-10-07
37,"I Have the Face for It, Don't I?",,2007-10-14
38,"The King Train Within the Train Terminal",,2007-10-21
39,"The Rider Disappears as Well",,2007-10-28
40,"Change Imagin World",,2007-11-11
41,"Candy Scandal",,2007-11-18
42,"Memory Update",,2007-11-25
43,"Something Missing",,2007-12-02
44,"Resolution of a Single-Action",,2007-12-09
45,"Reliving a Blank Day",,2007-12-16
46,"Now to Reveal Love and Truth",,2007-12-23
47,"You Wept Over My End",,2008-01-06
48,"Opposite Goodbyes...",,2008-01-13
49,"The Climax Goes on No Matter What",,2008-01-20
