episode_number,title,synopsis,air_date
1,"Avataro",,2022-03-06
2,"Big Peach, Small Peach",,2022-03-13
3,"The Light Thief",,2022-03-20
4,"The Onigiri Demon",,2022-03-27
5,"The Holed-Up Dog",,2022-04-03
6,"The Pheasant's Short-Lived Glory",,2022-04-10
7,"A Group of Teachers",,2022-04-17
8,"A Long-Haired Captive",,2022-04-24
9,"Worn-Out Taro and Robotaro",,2022-05-01
10,"The Rainbow the Oni Saw",,2022-05-08
11,"The Dog Gets Sick",,2022-05-15
12,"The Moon Is a Liar",,2022-05-22
13,"Farewell, Taro",,2022-05-29
14,"Jiro the Substitute",,2022-06-05
15,"Welcome Back, Taro",,2022-06-12
16,"The Dark Side Switch",,2022-06-19
17,"Light and Tsubasa",,2022-06-26
18,"A Jaws Strike",,2022-07-03
19,"Hello Ghost",,2022-07-10
20,"Nose in the Air Elegy",,2022-07-17
21,"Extreme Way of the Ramen",,2022-07-24
22,"Hellish Road of Manga",,2022-07-31
23,"The Dog Becomes a Dog",,2022-08-07
24,"An Ensemble Son",,2022-08-14
25,"Hero-Worker",,2022-08-21
26,"Hasty Finale",,2022-08-28
27,"A Serious Duel",,2022-09-04
28,"Secret's Secret",,2022-09-11
29,"Mourning and Murasame",,2022-09-18
30,"Juto Hunters",,2022-09-25
31,"The Dog Unmasked",,2022-10-02
32,"Duel Part 2",,2022-10-09
33,"The Wasshoi Bird",,2022-10-16
34,"Natsumi Meets Me",,2022-10-23
35,"Origami Song",,2022-10-30
36,"Dog-Dog Battle",,2022-11-13
37,"I, Ni, Za, and Shi",,2022-11-20
38,"Nonsensical Cooking",,2022-11-27
39,"Unexpected Button Pressing",,2022-12-04
40,"A Dangerous Riding Companion",,2022-12-11
41,"Santa Struggling",,2022-12-18
42,"Off-Putting Family",,2022-12-25
43,"Time-Traveling Mysteries",,2023-01-08
44,"White Revealed, Black Revealed",,2023-01-15
45,"Kaka Village, Gaga Village",,2023-01-22
46,"A Natsumi Night's Dream",,2023-01-29
47,"Don-Nou Meeting",,2023-02-05
48,"9 Donbros",,2023-02-12
49,"Last Memories",,2023-02-19
50,"We Have Made a Bond",,2023-02-26
