episode_number,title,synopsis,air_date
1,"Why Has My Time Stopped?",,2014-10-05
2,"What Is a Kamen Rider?",,2014-10-12
3,"Who Stole Her Smile?",,2014-10-19
4,"What Is the Proud Chaser Thinking About?",,2014-10-26
5,"What Are the Steel Robbers After?",,2014-11-09
6,"Who Does the Warrior Fight For?",,2014-11-16
7,"How Was That Decisive Moment Captured?",,2014-11-23
8,"What Is the Secret That Dwells in the Heart?",,2014-11-30
9,"How Can I Get Used to the Cool Body?",,2014-12-07
10,"What Is in the Belt's Past?",,2014-12-14
11,"Who Can Prevent the Dark Eve?",,2014-12-21
12,"Where Did the White Kamen Rider Come From?",,2014-12-28
13,"Why Won't My Little Brother Put On the Brakes?",,2015-01-11
14,"Who Is the Black Shadow Chasing Her?",,2015-01-18
15,"When Will These Feelings Reach You?",,2015-01-25
16,"Why Is Rinna Sawagami Fidgeting?",,2015-02-01
17,"Who Will Control the Deadheat?",,2015-02-08
18,"Why Is Lieutenant Otta Following That Guy?",,2015-02-15
19,"What Can Judge a Detective?",,2015-02-22
20,"When Did Kyu Saijo Become a Roidmude?",,2015-03-01
21,"What Do the Unusual Dead Speak About?",,2015-03-08
22,"How Do I Fight With the F1 Body?",,2015-03-15
23,"Who Can Stop the Mischievous Smile?",,2015-03-22
24,"What Is Making Mach Run?",,2015-04-05
25,"Why Has a New Battle Begun?",,2015-04-12
26,"Where Will Chaser Proceed?",,2015-04-19
27,"What Is Go Shijima's Reason to Fight?",,2015-04-26
28,"Why Were the Families Targeted?",,2015-05-03
29,"What Really Happened During the Robbery?",,2015-05-10
30,"Who Will Reveal the True Culprit?",,2015-05-17
31,"Why Did the Important Memories Disappear?",,2015-05-24
32,"What Is Waiting at the End of Evolution?",,2015-05-31
33,"Who Claimed the Life of Shinnosuke Tomari?",,2015-06-07
34,"Who Claimed the Life of Eisuke Tomari?",,2015-06-14
35,"Why Did the Besiege Incident Happen?",,2015-06-28
36,"Where Will the Bullet Guide Justice?",,2015-07-05
37,"Who Is Searching for the Ultimate Flavor?",,2015-07-12
38,"Why Does the Devil Still Want to Evolve?",,2015-07-19
39,"Where Will the Whirlwind Kidnappers Strike Next?",,2015-07-26
40,"Why Did the Two Genius Researchers Clash?",,2015-08-02
41,"How Was the Golden Drive Born?",,2015-08-09
42,"Where Is the Goddess' Truth?",,2015-08-16
43,"When Will the Second Global Freeze Start?",,2015-08-23
44,"Who Had Loved Heart the Most?",,2015-08-30
45,"What Is the Roidmudes' Final Dream?",,2015-09-06
46,"Why Did They Have to Fight?",,2015-09-13
47,"Who Will You Entrust the Future to, My Friend?",,2015-09-20
48,"The Case of Ghost",,2015-09-27
