episode_number,title,synopsis,air_date
1,"I'm a Kamen Rider!",,2016-10-02
2,"Another Prodigy With a ""No Thank You""?",,2016-10-09
3,"The Man Comes With a Bang!",,2016-10-16
4,"The Name of the Operation Is Dash!",,2016-10-23
5,"All Gathered, Clash Crash!",,2016-10-30
6,"Feel the Beat in the Heart!",,2016-11-13
7,"The Essence of Some Lie!",,2016-11-20
8,"Men, Fly High!",,2016-11-27
9,"Beat Up the Dragon!",,2016-12-04
10,"The Disharmonious Doctors!",,2016-12-11
11,"Who's the Black Kamen Rider?",,2016-12-18
12,"Christmas Special: The Targeted Silver Xmas!",,2016-12-25
13,"A Predetermined Destiny",,2017-01-08
14,"We're Kamen Riders!",,2017-01-15
15,"A New Challenger Appears!",,2017-01-22
16,"The Paradox of Defeating M",,2017-01-29
17,"A Nonstandard Burgster?",,2017-02-05
18,"The Revealed Truth!",,2017-02-12
19,"A Sudden Fantasy!?",,2017-02-19
20,"Take Off Against the Wind!",,2017-02-26
21,"Pursue the Mystery!",,2017-03-05
22,"The Conspired History!",,2017-03-12
23,"Extreme Dead or Alive!",,2017-03-19
24,"Embracing Ambitions, Go Together!",,2017-03-26
25,"A New Game Starts!",,2017-04-02
26,"Players Who Bet on Survival",,2017-04-09
27,"Love & Peace for the Winner!",,2017-04-16
28,"Beyond the Identity",,2017-04-23
29,"We're Me!?",,2017-04-30
30,"Strongest vs. Strongest!",,2017-05-07
31,"The Forbidden Continue!?",,2017-05-14
32,"Judgement Passed!",,2017-05-21
33,"Company Restructuring!",,2017-05-28
34,"Accomplished Rebirth!",,2017-06-04
35,"Rescue the Partner!",,2017-06-11
36,"Perfect Invincible Gamer!",,2017-06-25
37,"Resolution of the White Knight!",,2017-07-02
38,"Period With Tears",,2017-07-09
39,"Goodbye Me!",,2017-07-16
40,"Reboot of Fate!",,2017-07-23
41,"Reset Game!",,2017-07-30
42,"God Arrives!",,2017-08-06
43,"White Coat License",,2017-08-13
44,"The Last Smile",,2017-08-20
45,"Endless Game",,2017-08-27
