episode_number,title,synopsis,air_date
1,"The Start of a Trip",,2003-01-26
2,"The Belt's Power",,2003-02-02
3,"The King's Sleep...",,2003-02-09
4,"My Name",,2003-02-16
5,"Original",,2003-02-23
6,"Trio × Trio",,2003-03-02
7,"The Power of Dreams",,2003-03-09
8,"The Protector of Dreams",,2003-03-16
9,"Enter, the President",,2003-03-23
10,"The Enigmatic Rider",,2003-03-30
11,"The Enigmatic Belt",,2003-04-06
12,"Ryūsei School",,2003-04-13
13,"Friend of Foe?",,2003-04-20
14,"Takumi's Spirit",,2003-04-27
15,"The Fallen Idol ~ φ's vs. χ",,2003-05-04
16,"Human Heart",,2003-05-11
17,"Takumi, Revival",,2003-05-18
18,"Narrow Escape from Death",,2003-05-25
19,"Pure White Justice",,2003-06-01
20,"The Beautiful Assassin",,2003-06-08
21,"Accelerating Spirits",,2003-06-22
22,"Masato's Confession",,2003-06-29
23,"False Friendship",,2003-07-06
24,"The Door to Darkness",,2003-07-13
25,"The Dark Laboratory",,2003-07-20
26,"Enter, Delta",,2003-07-27
27,"Ryūsei School Breaks Up",,2003-08-03
28,"Dark Clover",,2003-08-10
29,"Excellent Bike",,2003-08-17
30,"Masato's Trap",,2003-08-24
31,"Origami Tears",,2003-08-31
32,"Intertwined Threads",,2003-09-07
33,"Mari Dies",,2003-09-14
34,"True Form",,2003-09-21
35,"The Resurrection Riddle",,2003-09-28
36,"Restored Memories",,2003-10-05
37,"Kaixa's Justice",,2003-10-12
38,"The Wandering Spirit",,2003-10-19
39,"Faiz 2",,2003-10-26
40,"Proof of Humanity",,2003-11-09
41,"Capture Commences",,2003-11-16
42,"Broken Wings",,2003-11-23
43,"Red Balloon",,2003-11-30
44,"Final Mail",,2003-12-07
45,"King's Awakening",,2003-12-14
46,"A New President Appears",,2003-12-21
47,"King's Appearance",,2003-12-28
48,"Masato, Dying A Glorious Death",,2004-01-04
49,"A Sign of Destruction",,2004-01-11
50,"My Dream",,2004-01-18
