episode_number,title,synopsis,air_date
1,"Youth-Ful Trans-Formation",,2011-09-04
2,"Space Is Amaz-Ing",,2011-09-11
3,"Queen E-Lec-Tion",,2011-09-18
4,"Trans-Formation Se-Cret",,2011-09-25
5,"Friend-Ship Two-Faced",,2011-10-02
6,"Blitz-Krieg Only Way",,2011-10-09
7,"The King, The Jerk",,2011-10-16
8,"Iron Knight's Coop-Eration",,2011-10-23
9,"The Witch Awa-Kens",,2011-10-30
10,"Moon-Light Rum-Ble",,2011-11-13
11,"Dis-Appearing Moon-Door",,2011-11-20
12,"Mis-Sion Ken's Life",,2011-11-27
13,"School Re-Jec-Tion",,2011-12-04
14,"Sting-Er At-Tack",,2011-12-11
15,"Holy Night Cho-Rus",,2011-12-18
16,"Right-Wrong Con-Flict",,2011-12-25
17,"Me-Teor Ar-Rival",,2012-01-08
18,"Gen/Ryu Show-Down",,2012-01-15
19,"Steel Dragon, No Equal",,2012-01-22
20,"Excel-Lent Magne-Tism",,2012-01-29
21,"Gui-Dance Mis-Counseling",,2012-02-05
22,"True Self Rejec-Tion",,2012-02-12
23,"The Swan Un-Ion",,2012-02-19
24,"Hero-Ic De-Sire",,2012-02-26
25,"Grad-Uation Trou-Bles",,2012-03-04
26,"Per-Fect Round Dance",,2012-03-11
27,"Trans-Formation De-Nied",,2012-03-18
28,"Star-Storm Come-Back",,2012-03-25
29,"Jun-Ior Sil-Ence",,2012-04-01
30,"Sen-Ior Futil-Ity",,2012-04-08
31,"Plei-Ades King-Dom",,2012-04-15
32,"Super Cos-Mic Sword",,2012-04-22
33,"Old City May-Hem",,2012-04-29
34,"Sky Hole Offense/Defense",,2012-05-06
35,"Mon-Ster Broad-Cast",,2012-05-13
36,"Seri-Ous Last Song",,2012-05-20
37,"Star Group Selec-Tion",,2012-05-27
38,"Win-Ner Deci-Sion",,2012-06-03
39,"Cam-Pus Ordi-Nance",,2012-06-10
40,"I-Dea Pas-Sion",,2012-06-24
41,"The Club Col-Lapses",,2012-07-01
42,"Sagi-Tarius Con-Trols",,2012-07-08
43,"Gem-Ini Light/Shade",,2012-07-15
44,"Star Fate Cere-Mony",,2012-07-22
45,"Li-Bra De-Fects",,2012-08-05
46,"Supe-Rior Sagit-Tarius",,2012-08-12
47,"Close Friends Sepa-Rated",,2012-08-19
48,"Youth-Ful Gal-Axy",,2012-08-26
