episode_number,title,synopsis,air_date
1,"Transformation! The Orange From the Sky!?",,2013-10-06
2,"Deadly! Pineapple Kick!",,2013-10-13
3,"Shock! The Rival's Banana Transformation!?",,2013-10-20
4,"He's Appeared! The Third Grape Rider!",,2013-10-27
5,"Return! The Ichigo Arms of Friendship!",,2013-11-10
6,"The Durian Rider Appears!",,2013-11-17
7,"Great Ball Watermelon, Big Bang!",,2013-11-24
8,"Baron's New Mango Power",,2013-12-01
9,"The Great ""Inves Monster Capturing"" Operation!",,2013-12-08
10,"All the Riders Gather! Revealing the Forest's Mystery!",,2013-12-15
11,"The Truth Behind the Christmas Game",,2013-12-22
12,"The New Generation Rider Appears!",,2014-01-05
13,"The Friendship Tag Team of Gaim and Baron!",,2014-01-12
14,"The Secret of Helheim's Fruits",,2014-01-19
15,"The Man Who Developed the Belts",,2014-01-26
16,"A New Arms! Jimber Lemon Is Born!",,2014-02-02
17,"The Peach Rider Marika Descends!",,2014-02-09
18,"Farewell Beat Riders",,2014-02-16
19,"The Gift Secret Weapon",,2014-02-23
20,"The End of the World, the Invasion Begins",,2014-03-02
21,"Yggdrasill's Secret",,2014-03-09
22,"A Seventh of the Truth",,2014-03-16
23,"Now Let's Go! Kachidoki Arms!",,2014-03-23
24,"The New Formidable Overlords",,2014-04-06
25,"Gridon and Bravo's Strongest Tag Team",,2014-04-13
26,"Baron's Genesis Transformation!",,2014-04-20
27,"Time to Know the Truth",,2014-04-27
28,"The Betrayal of Zangetsu",,2014-05-04
29,"The Overlord King",,2014-05-11
30,"The Red and Blue Kikaider",,2014-05-18
31,"The Whereabouts of the Forbidden Fruit",,2014-05-25
32,"The Strongest Power! Kiwami Arms",,2014-06-01
33,"The Great Beat Riders' Gathering!",,2014-06-08
34,"The King's Power and the Queen's Revival",,2014-06-22
35,"Mitchy's Ark",,2014-06-29
36,"A Brotherly Conclusion! Zangetsu vs. Zangetsu Shin!",,2014-07-06
37,"Baron Soccer Showdown: Summer Camp!",,2014-07-13
38,"Return of the Professor",,2014-07-20
39,"The Suicide Plan to Break Into Tower!",,2014-07-27
40,"The Overlord Awakens",,2014-08-10
41,"A Duel with the Overlord King!",,2014-08-17
42,"Mitsuzane's Last Transformation!",,2014-08-24
43,"Baron's Ultimate Transformation",,2014-08-31
44,"The Future Goals of Two People",,2014-09-07
45,"The Final Battle of the Two Destined People!",,2014-09-14
46,"The Fated Victor",,2014-09-21
47,"Transformation! And to the Future",,2014-09-28
