episode_number,title,synopsis,air_date
1,"A Snack Kamen Rider!?",,2024-09-01
2,"Happy Zakuzakuchips",,2024-09-08
3,"Soda Punch Is a Guilty Pleasure",,2024-09-15
4,"More Marshmallows Please!",,2024-09-22
5,"The Memories Are Painful",,2024-09-29
6,"Transformation Is Bitter Chocolate",,2024-10-06
7,"What Flavor Lies Underneath the Mask?",,2024-10-13
8,"Dual Chocolate",,2024-10-20
9,"Trick or Dance!",,2024-10-27
10,"Extra Large! Candy Cannon!",,2024-11-10
11,"Beware of Sweet Words!",,2024-11-17
12,"A Bond Connected by Doughnuts",,2024-11-24
13,"Promised Homemade Cake",,2024-12-01
14,"Miraculous Awakening! Caking",,2024-12-08
15,"Escaped Granute!",,2024-12-15
16,"The Gift of Noël",,2024-12-22
17,"Caramel Tentacles Taste Like Happiness",,2025-01-05
18,"Extremely Strong! The Pudding Bodyguard",,2025-01-12
19,"The Secret Bittersweet Flavor of Pudding",,2025-01-19
20,"Break In! To the Dark Treats Factory!",,2025-01-26
21,"Too Bitter Gavv",,2025-02-02
22,"The Truth Is Sweet and Bitter",,2025-02-09
23,"Broken Sweets",,2025-02-16
24,"A Spoonful of Revival Ice Cream",,2025-02-23
25,"Virtual Happiness, the Taste of Nectar",,2025-03-02
26,"Angry Pudding",,2025-03-09
27,"Sour and Sweet to the Point of Burning",,2025-03-23
28,"Chocolate Frappe of Bonds!",,2025-03-30
29,"Jiip's Surprise Wedding!",,2025-04-06
30,"The Most Terrible Presidential Daughter",,2025-04-13
31,"A Marriage of Spicy and Bitter",,2025-04-20
32,"Cup on the True Feelings!",,2025-04-27
33,"One-Hit Kill!! Over Gavv!",,2025-05-04
34,"The Great 100 Gochizo Operation!",,2025-05-11
35,"Zero Sweetness! Ironclad Lango",,2025-05-18
36,"Turnaround! Awakening! Master Gavv",,2025-05-25
37,"I Have Never Forgotten",,2025-06-01
38,"The Other Side of Hatred",,2025-06-08
39,"Even Though I Was Looking for You",,2025-06-15
40,"The Reminiscent À la Mode",,2025-06-22
41,"Glasses Creeping Closer",,2025-06-29
42,"At the End of Broken Feelings",,2025-07-06
43,"What Does the Human World Taste Like?",,2025-07-13
44,"A Dazzling Moment That Will Never Come Back",,2025-07-20
45,"I Won't Let Anyone Take Them Away Anymore",,2025-07-27
46,"Shoma's Determination",,2025-08-03
47,"Happy Dystopia",,2025-08-10
48,"Burning Amazingummy",,2025-08-17
49,"I Believe in Snacks",,2025-08-24
50,"Aim for It! A Delicious Future!",,2025-08-31
