episode_number,title,synopsis,air_date
1,"Daybreak F: Inviting You to Be a Rider",,2022-09-04
2,"Encounter I: Treasure Hunts and Bandits",,2022-09-11
3,"Encounter II: Zombie Hunt",,2022-09-18
4,"Encounter III: Victory Conditions",,2022-09-25
5,"Encounter IV: Doubles Concentration",,2022-10-02
6,"Encounter V: The Boost Counterattack",,2022-10-09
7,"Encounter VI: A Last Boss and Kick the Can",,2022-10-16
8,"Encounter VII: The Secret Weapon Ninja",,2022-10-23
9,"Encounter F: Wake Up! Monster",,2022-10-30
10,"Conspiracy I: Beat of the New World",,2022-11-13
11,"Conspiracy II: The Jyamato Labyrinth",,2022-11-20
12,"Conspiracy III: Slot★Fever",,2022-11-27
13,"Conspiracy IV: Retrieve the Drivers!",,2022-12-04
14,"Conspiracy V: A Furious Glare",,2022-12-11
15,"Conspiracy VI: The Right to Be a Kamen Rider",,2022-12-18
16,"Conspiracy IR: The Fox Hunt",,2022-12-25
17,"Divergence I: Welcome to the New Season!",,2023-01-08
18,"Divergence II: Bravo! Jyamar Ball Battle!",,2023-01-15
19,"Divergence III: Time to Vote! Who's the Dezastar?!",,2023-01-22
20,"Divergence IV: Jyamato Deliveries!",,2023-01-29
21,"Divergence V: Gazer's Judgment!",,2023-02-05
22,"Divergence VI: Pursuit! Time to Catch Chirami!",,2023-02-12
23,"Divergence T: Now, for the Sake of My Favorite!",,2023-02-19
24,"Divergence SP: Emergency Special! Behind the DGP!",,2023-02-26
25,"Lamentation I: The Jyamato Grand Prix",,2023-03-05
26,"Lamentation II: The Crimson Boost!",,2023-03-12
27,"Lamentation III: Fun with the Sengoku Game",,2023-03-19
28,"Lamentation IV: A Laser-Boosted Relationship!",,2023-03-26
29,"Lamentation V: Surprise! The Bullfighting Game",,2023-04-02
30,"Lamentation VI: The Prince from the Letters",,2023-04-09
31,"Lamentation VII: The Heaven and Hell Game",,2023-04-16
32,"Lamentation F: Final Judgment",,2023-04-23
33,"Longing I: The Invincible Buffa!",,2023-04-30
34,"Longing II: The Wrath of Geats",,2023-05-07
35,"Longing III: A Sister's Wish, a Brother's Wish",,2023-05-14
36,"Longing IV: A Fleeting Alliance",,2023-05-21
37,"Longing V: Pure White Oblivion",,2023-05-28
38,"Longing F: The Nine-Tailed White Fox!",,2023-06-04
39,"Creation I: My DGP",,2023-06-11
40,"Creation II: Tycoon Unleashed",,2023-06-18
41,"Creation III: The Jet-Black Shogun",,2023-06-25
42,"Creation IV: A Goddess Perfected and the Blade of the Darkness",,2023-07-02
43,"Creation V: His Name Is Gya-Go!",,2023-07-09
44,"Creation VI: Shining Neon",,2023-07-16
45,"Creation VII: What Becomes of Wishes",,2023-07-23
46,"Creation VIII: Goodbye, Micchy",,2023-07-30
47,"Creation IX: A Real Kamen Rider",,2023-08-13
48,"Creation X: Tsumuri's Requiem",,2023-08-20
49,"Daybreak I: This Is for the Highlights!",,2023-08-27
