episode_number,title,synopsis,air_date
1,"Eyes Open! It's Me!",,2015-10-04
2,"Shocking! The Invention King!",,2015-10-11
3,"Bull's-eye! Archery of Justice!",,2015-10-18
4,"Amazing! The Castle in the Sky!",,2015-10-25
5,"Shocking! The Mysterious Kamen Rider!",,2015-11-08
6,"Fate! The Comeback Melody!",,2015-11-15
7,"Quick Draw! The Legendary Gunman!",,2015-11-22
8,"Activation! Another Monolith!",,2015-11-29
9,"Imposing! The Loyal Man!",,2015-12-06
10,"Gathered! Fifteen Eyecons!",,2015-12-13
11,"Magnificent! Mysterious Eyes!",,2015-12-20
12,"Heroic! A Man's Resolve!",,2015-12-27
13,"Exciting! A Free Man!",,2016-01-10
14,"Superb View! The Dawn of the Earth!",,2016-01-17
15,"Agony! The Stubborn Escape King!",,2016-01-24
16,"Perfect! The White Kamen Rider!",,2016-01-31
17,"Gorgeous! The Phantom Queen!",,2016-02-07
18,"Turn-Around! Mysterious Science!",,2016-02-14
19,"Explosion! Paint From Your Heart!",,2016-02-21
20,"Eruption! The Flames of Friendship!",,2016-02-28
21,"Amazing! The Gamma's World!",,2016-03-06
22,"Conspiracy! Adel's Trap!",,2016-03-13
23,"Possessed! The Giant Eyecon!",,2016-03-20
24,"Appearance! The Mysterious Warrior!",,2016-03-27
25,"Disaster! The Red Sky!",,2016-04-03
26,"Conflict! The Terms of Resolution!",,2016-04-10
27,"Do-or-Die! Ready for Infiltration!",,2016-04-17
28,"Bursting! The Power of the Abyss!",,2016-04-24
29,"Second Coming! Ordeal of the Escape King!",,2016-05-01
30,"Forever! Cries of the Heart!",,2016-05-08
31,"Bizarre! The Power of the Gammisers!",,2016-05-15
32,"Reminiscence! The Hidden Heart!",,2016-05-22
33,"Miracle! Infinite Feelings!",,2016-05-29
34,"Wandering! The World of Dreams!",,2016-06-05
35,"Real Worth! The Power of Fun!",,2016-06-12
36,"Vehement! Idol Declaration!",,2016-06-19
37,"Mastered! Everyone's Paths!",,2016-06-26
38,"Return! The Souls of Heroes!",,2016-07-03
39,"Opposition! Father and Daughter!",,2016-07-10
40,"Courage! A Tragic Resolution!",,2016-07-17
41,"Upheaval! The Secretary's Decision!",,2016-07-24
42,"Astonishment! The Truth About the Hermit!",,2016-07-31
43,"Connection! The Boy Genius!",,2016-08-07
44,"Activation! The Terror of Demia!",,2016-08-14
45,"Horror! A Disappearing World!",,2016-08-21
46,"Duel! Words from the Swordsman!",,2016-08-28
47,"Concord! Everyone's Resolutions!",,2016-09-04
48,"End! The Chain of Sorrow!",,2016-09-11
49,"Infinity! The Power of Humanity!",,2016-09-18
50,"Future! Connected Feelings!",,2016-09-25
