episode_number,title,synopsis,air_date
1,"Special Ops Sentai, Assemble!",,2012-02-26
2,"A Promise Made 13 Years Ago",,2012-03-04
3,"GT-02 Animal, Deploy!",,2012-03-11
4,"Special Ops and Determination",,2012-03-18
5,"Dangerous Overheated Rampage!",,2012-03-25
6,"Combine! Go-Buster-King",,2012-04-01
7,"Bad Maintenance on the Ace?!",,2012-04-08
8,"Protect the Machine Blueprints!",,2012-04-15
9,"Usada Recovery Strategy!",,2012-04-22
10,"The Reason We Fight",,2012-04-29
11,"The Targeted Weakpoint",,2012-05-06
12,"You Like Going Undercover?",,2012-05-13
13,"A Surprising Day Off",,2012-05-20
14,"Ça va? Rescue Strategy",,2012-05-27
15,"The Golden Warrior and the Silvery Buddy",,2012-06-03
16,"The Man Who Came From Hyper Space",,2012-06-10
17,"Its Name Is Go-Buster Beet!",,2012-06-17
18,"Cooperative Operations 3,000 Meters In the Earth",,2012-06-24
19,"My Combination! Buster Hercules",,2012-07-01
20,"Five-Part Concentration! Great Go-Buster!",,2012-07-08
21,"Farewell, Blue Buster",,2012-07-15
22,"The Beautiful Avatar: Escape",,2012-07-22
23,"Those Who Follow Their Intent",,2012-07-29
24,"A très bien Summer Festival",,2012-08-05
25,"Pursue the Mystery of the Avatars!",,2012-08-12
26,"The Tiny Enemy! Control Room SOS",,2012-08-19
27,"An Out of Control Combo to Escape the Labyrinth!",,2012-08-26
28,"Beware of Chickens!",,2012-09-02
29,"Breaking Into Hyper Space!",,2012-09-09
30,"Messiah Shutdown",,2012-09-16
31,"Space Sheriff Gavan Arrives!",,2012-09-23
32,"Friendship Tag With Gavan!",,2012-09-30
33,"Morphin! Powered Custom",,2012-10-07
34,"The Enemy Is Beet Buster?!",,2012-10-14
35,"Roar, Tategami Lioh!",,2012-10-21
36,"Go-Buster Lioh, Kaching!",,2012-10-28
37,"The Black and White Brides",,2012-11-04
38,"Live! Ace Deathmatch",,2012-11-11
39,"Finishing Blow! Messiah's Fist",,2012-11-18
40,"Covering Jay and the Messiahloid",,2012-11-25
41,"The Thief Pink Buster!",,2012-12-02
42,"Attack! Within the Megazord",,2012-12-09
43,"Christmas Determination",,2012-12-16
44,"Christmas Eve: Time to Complete the Mission",,2012-12-23
45,"Happy New Year: A Small Formidable Enemy, Again",,2013-01-06
46,"The New Fusion and Overheated Rampage!",,2013-01-13
47,"Reset and Back-Up",,2013-01-20
48,"Setting the Trap",,2013-01-27
49,"Preparation and Selection",,2013-02-03
50,"Eternal Bonds",,2013-02-10
