episode_number,title,synopsis,air_date
1,"Space Pirates Appear",,2011-02-13
2,"The Worth of This Planet",,2011-02-20
3,"Changing Courage into Magic ~Maagi Magi Go Gokai~",,2011-02-27
4,"Blue Pirate Friend",,2011-03-06
5,"Judgment Pirates",,2011-03-20
6,"The Most Important Thing",,2011-03-27
7,"Niki-Niki! Kenpō Lesson",,2011-04-03
8,"Little Spy Tactics",,2011-04-10
9,"The Lion, Runs",,2011-04-17
10,"Card Game",,2011-04-24
11,"The Serious Rebellion",,2011-05-01
12,"The Guaranteed Showy Samurai",,2011-05-08
13,"Tell Me the Way",,2011-05-15
14,"Now More Traffic Safety",,2011-05-22
15,"A Privateer Appears",,2011-05-29
16,"Clash! Sentai vs. Sentai",,2011-06-05
17,"The Awesome Silver Pirate",,2011-06-12
18,"The Big Abare With the Dinosaur Robot Drill",,2011-06-26
19,"Armor of the 15 Warriors",,2011-07-03
20,"The Lost Forest",,2011-07-10
21,"The Heart of an Adventure",,2011-07-17
22,"A Promise on a Shooting Star",,2011-07-24
23,"People's Lives Are the Future of the World",,2011-07-31
24,"Foolish Earthlings",,2011-08-07
25,"Pirates and Ninjas",,2011-08-14
26,"Shushutto The Special",,2011-08-21
27,"Switched Gokai Pirates",,2011-08-28
28,"Wings are Eternal",,2011-09-04
29,"The Abare Quick-Changing New Combination",,2011-09-11
30,"My Friend's Soul",,2011-09-18
31,"Crash!! The Secret Operators",,2011-09-25
32,"One Power",,2011-10-02
33,"It's a Hero!!!",,2011-10-09
34,"A Dream Come True",,2011-10-16
35,"The Other Dimension",,2011-10-23
36,"Partner Pirate",,2011-10-30
37,"The Strongest Machine",,2011-11-06
38,"The Power to Seize Dreams",,2011-11-13
39,"Why? We're High School Students",,2011-11-20
40,"The Future Is In the Past",,2011-11-27
41,"Something I Don't Want to Lose",,2011-12-04
42,"The Strongest Man in the Universe",,2011-12-11
43,"The Legendary Hero",,2011-12-18
44,"A Lovely Christmas Eve",,2011-12-25
45,"Confused Ninja",,2012-01-08
46,"Hero Eligibility",,2012-01-15
47,"The Results of Treason",,2012-01-22
48,"The Fated Showdown",,2012-01-29
49,"The Greatest Treasure in the Universe",,2012-02-05
50,"Day of the Deciding Battle",,2012-02-12
51,"Farewell Space Pirates",,2012-02-19
