episode_number,title,synopsis,air_date
1,"Savior No.1!",,2025-02-16
2,"Catch the Treasure! It's My Prey",,2025-02-23
3,"The Boss of Japan! I'm the Prime Minister!",,2025-03-02
4,"Party Time ☆ Dreaming Old Man",,2025-03-09
5,"Recover Your Soul! Don't Let Your Troubles Get in the Way",,2025-03-23
6,"The Final Battle! The Great Adventure of Tokonatsu Castle",,2025-03-30
7,"Get Excited! Come Together, Gozyugers!",,2025-04-06
8,"Between Right and Wrong, the Ring Hunter",,2025-04-13
9,"Unbreakable Wolf",,2025-04-20
10,"Go, Go, Go! Shōwa Has Arrived!",,2025-04-27
11,"Unleash the Wild! The Beastmaster Plays His Flute",,2025-05-04
12,"The Demon Roars!!",,2025-05-11
13,"Housekeeper Run! Ryugi's Manners",,2025-05-18
14,"The Sacred Servant and the Legend of Tega Sword!",,2025-05-25
15,"Stop the June Bride",,2025-06-01
16,"True Savior No.1!",,2025-06-08
17,"Shine Brightly! No.1 Sports Day!",,2025-06-15
18,"Mystery GP! The Detective Is in the Village",,2025-06-22
19,"White Burn With Two Hearts!",,2025-06-29
20,"Serious About Gyaru! Oto Changed Her Character!?",,2025-07-06
21,"Burning Festival Spirit! Tega Sword Summer!",,2025-07-13
22,"Benefit? Annoyance? This Is How to Save Money!",,2025-07-20
23,"The Lonely Star, Awakened Wolf!",,2025-07-27
24,"The Thief Causing a Stir at School",,2025-08-03
25,"The Gutsy Police Are in the Clear!",,2025-08-10
26,"Close to the Secret! Hoeru Tono Is a New Employee",,2025-08-17
27,"Win the Battle! Get Rich Quick!",,2025-08-24
28,"Dancing With Love! This Is the・AI",,2025-08-31
29,"The Ultimate Hospitality! Ryugi Is Serious!",,2025-09-07
30,"Noble and Powerful! The New Tyranno Is a Prince",,2025-09-14
31,"I Am Tyranno! The Will to Save the World",,2025-09-21
32,"A Sudden Breakup!? A Big Fight Between Knife and Cake",,2025-09-28
33,"Choose Your World! The Ultimate Final Sword!",,2025-10-05
34,"Scattered Battle Scars, Gray Glow",,2025-10-12
35,"Transform!! You Too Can Become Younger",,2025-10-19
36,"Get Ready, Rival! What Is Youth!?",,2025-10-26
37,"Friendship Cross! Lord Kumade Is a Fashionista",,2025-11-09
38,"Judgment: Ring Hunter",,2025-11-16
39,"Burning Intensity! I'll Show You the Power of the Rings!",,2025-11-23
40,"Terrifying! Ribbon Laughs in the Haunted House",,2025-11-30
41,"The Final Key! Bouquet of Destruction and the Creation No One",,2025-12-07
42,"Forever Live! A Bouquet for a Rikuonist",,2025-12-14
43,"Decisive Battle With Kuon! A Present from an Angel",,2025-12-21
44,"I Am Red! An Original Sentai Has Arrived!",,2026-01-04
45,"All Rings Gathered! All the Reds Stand by Their Comrades",,2026-01-11
46,"Endless Youth! This Is the True Path of a Party Person!",,2026-01-18
47,"Go Fight, Rikuo! When the Hundred Nights End",,2026-01-25
48,"Resolve to Reform the World! In the Winds of Calamity",,2026-02-01
49,"We Are No.1 Sentai Gozyuger!",,2026-02-08
