episode_number,title,synopsis,air_date
1,"The Echoing Oni",,2005-01-30
2,"The Roaring Spider",,2005-02-06
3,"Falling Voice",,2005-02-13
4,"Running Ichiro",,2005-02-20
5,"Melting Sea",,2005-02-27
6,"Beating Soul",,2005-03-06
7,"The Blowing Oni",,2005-03-13
8,"Screaming Wind",,2005-03-20
9,"Wriggling Evil Heart",,2005-03-27
10,"The Oni Standing in a Line",,2005-04-03
11,"Swallowing Wall",,2005-04-10
12,"Revealed Secrets",,2005-04-17
13,"Berserk Fate",,2005-04-24
14,"Devouring Douji",,2005-05-01
15,"Weakening Thunder",,2005-05-08
16,"The Roaring Oni",,2005-05-15
17,"A Targeted Town",,2005-05-22
18,"Unbroken Hurricane",,2005-05-29
19,"Strumming Warrior",,2005-06-05
20,"The Pure Sound",,2005-06-12
21,"Demons Drawn Together",,2005-06-26
22,"Changing into a Cocoon",,2005-07-03
23,"Summer of Training",,2005-07-10
24,"Burning Crimson",,2005-07-17
25,"Running Azure",,2005-07-24
26,"Counting the Days",,2005-08-07
27,"Passing Down the Bond",,2005-08-14
28,"Unending Malice",,2005-08-21
29,"Shining Boy",,2005-08-28
30,"Premonition of Training",,2005-09-04
31,"Surpassing Father",,2005-09-11
32,"Bursting Song",,2005-09-18
33,"The Armed Blade",,2005-09-25
34,"Beloved Bonito",,2005-10-02
35,"Confusing Angel",,2005-10-09
36,"Starving Shuki",,2005-10-16
37,"Revived Lightning",,2005-10-23
38,"Broken Ongeki",,2005-10-30
39,"Your Beginning",,2005-11-13
40,"Nearing Orochi",,2005-11-20
41,"The Awakening Teacher and Student",,2005-11-27
42,"Ferocious Demons",,2005-12-04
43,"An Unchangeable Body",,2005-12-11
44,"Forbidden Secret",,2005-12-18
45,"Dying a Glorious Death, Zanki",,2005-12-25
46,"Mastering the Oni Way",,2006-01-08
47,"The Talking Back",,2006-01-15
48,"Dreaming of Tomorrow",,2006-01-22
