episode_number,title,synopsis,air_date
1,"The Strongest Man",,2006-01-29
2,"The First Two-Step Transformation",,2006-02-05
3,"I Am Justice!!",,2006-02-12
4,"Love Explanation!!",,2006-02-19
5,"Order to Capture!!",,2006-02-26
6,"My Flower",,2006-03-05
7,"#2 Appears",,2006-03-12
8,"Angry Tofu",,2006-03-19
9,"The Bee's Insanity!!",,2006-03-26
10,"I'm Not Your Friend",,2006-04-02
11,"The Party Burns",,2006-04-09
12,"The Makeup Thousand-Man Cut",,2006-04-16
13,"The Team Dissolves",,2006-04-23
14,"Back of the Back of the Back",,2006-04-30
15,"The Monster Noted Doctor!?",,2006-05-07
16,"An Impossible Storm",,2006-05-14
17,"Restored Memories!!",,2006-05-21
18,"Farewell, Gon",,2006-05-28
19,"Scorpion Millionaire",,2006-06-04
20,"Eh, Jiiya?",,2006-06-11
21,"Vs. Stag Beetle",,2006-06-25
22,"Birth of a Special Compilation",,2006-07-02
23,"Riddle + Riddle = X",,2006-07-09
24,"The Ramen Way",,2006-07-16
25,"The Proud Searchlight",,2006-07-23
26,"Love That Shook the Earth",,2006-07-30
27,"Me!? A Murderer",,2006-08-06
28,"Why!? Death",,2006-08-13
29,"The Dark Kitchen",,2006-08-20
30,"Miso Soup Ascension",,2006-08-27
31,"Shocking Fact",,2006-09-03
32,"Puzzle Unraveled!!",,2006-09-10
33,"The Sprouting Adjutant",,2006-09-17
34,"Breaking Super Evolution",,2006-09-24
35,"The Hellish Brothers",,2006-10-01
36,"Red Shoes' Recklessness",,2006-10-08
37,"School's Ghost Story",,2006-10-15
38,"The Dangerous Younger Sister",,2006-10-22
39,"The Powerful Black Opponent",,2006-10-29
40,"The Saddest Battle",,2006-11-12
41,"The Strongest Defeated",,2006-11-19
42,"Worst Terror vs. Worst Fear",,2006-11-26
43,"That Which We Aim For",,2006-12-03
44,"Who You Will Live With",,2006-12-10
45,"Christmas Earthquake",,2006-12-17
46,"Farewell, Tsurugi!!",,2006-12-24
47,"Rushing into the Last Chapter",,2007-01-07
48,"Tendou Dies!!",,2007-01-14
49,"Path of Heaven",,2007-01-21
