episode_number,title,synopsis,air_date
1,"I Am King",,2023-03-05
2,"A King for Whose Sake",,2023-03-12
3,"To Willfully Devote",,2023-03-19
4,"A Lordly Reception",,2023-03-26
5,"The King of Winter Is Coming",,2023-04-02
6,"Return of the Prince",,2023-04-09
7,"Wrath of God",,2023-04-16
8,"King and Prince in Trial by Combat",,2023-04-23
9,"Gira on the Run",,2023-04-30
10,"The Fabled Guardian Deity",,2023-05-07
11,"Eerie! The Man in the Spider Mask",,2023-05-14
12,"The Sixth King",,2023-05-21
13,"The Angry Spider",,2023-05-28
14,"Together With Moffun",,2023-06-04
15,"A Visit to Suzume",,2023-06-11
16,"The 10-Year-Old Chief Justice",,2023-06-18
17,"The King Does Not Flee",,2023-06-25
18,"The Crown of Beginnings",,2023-07-02
19,"Ohsama Sentai King-Ohger",,2023-07-09
20,"Duel of Kings",,2023-07-16
21,"Push Forward on the High Road",,2023-07-23
22,"Great Gathering of Shugods",,2023-07-30
23,"Shugodom's Moving Castle",,2023-08-06
24,"King of the In-Between vs. King of the Abyss",,2023-08-13
25,"War of the Kings and the People",,2023-08-20
26,"Birth of a New Kingdom",,2023-08-27
27,"Arrival of the Galactinsect King",,2023-09-03
28,"Shuffle Kings!",,2023-09-10
29,"Disqualified as King",,2023-09-17
30,"Frozen Scales",,2023-09-24
31,"2000 Years of Love",,2023-10-01
32,"Encounter! Kyoryu!",,2023-10-08
33,"Shugo! King and Kyoryu!!",,2023-10-15
34,"Shugo Mask Strikes Back",,2023-10-22
35,"Don't Cry, Slack-Jawed Tanuki",,2023-10-29
36,"Hymeno's Matchmaking Strategy",,2023-11-12
37,"Iroki's Rebellion",,2023-11-19
38,"Steadfast Idol Debut",,2023-11-26
39,"Nkosopa Showdown",,2023-12-03
40,"I Am King and Prince",,2023-12-10
41,"Time to Save the Universe",,2023-12-17
42,"The Secrets of King Rcules",,2023-12-24
43,"The Overlord's Deadly Sin",,2024-01-07
44,"Proof of the Kings! The True Alliance of the Six Kingdoms",,2024-01-14
45,"Heirs to the King",,2024-01-21
46,"Know the Beauty of Life",,2024-01-28
47,"Silence God",,2024-02-04
48,"Farewell, Dear People",,2024-02-11
49,"The King Is Here",,2024-02-18
50,"We Will Rule the World",,2024-02-25
