episode_number,title,synopsis,air_date
1,"The Mashin Are Born!",,2020-03-08
2,"Leader Certification",,2020-03-15
3,"The Vice Guy! No Advice Needed",,2020-03-22
4,"The Princess of the Lost Kingdom",,2020-03-29
5,"Shovelo Coming Through!",,2020-04-05
6,"My Friend Turned Five",,2020-04-12
7,"Training for You",,2020-04-19
8,"The Lightning Speed Express",,2020-04-26
9,"The Karuta Path of My Youth",,2020-05-03
10,"The Girl Who Chases After Shiguru",,2020-05-10
11,"Time Has Been Looped",,2020-06-21
12,"The Nice Guy With the Wonder Drill",,2020-06-28
13,"The Great Underground Battle",,2020-07-05
14,"The Solitary Ace",,2020-07-12
15,"Listen to Takamichi's Voice",,2020-07-19
16,"Marshmallow Royale",,2020-07-26
17,"The Mansion's Rare Stone",,2020-08-02
18,"Falling into Darkness",,2020-08-09
19,"Partners",,2020-08-16
20,"A Dangerous Pair",,2020-08-23
21,"Fishing, Sometimes a Master",,2020-08-30
22,"Are You Ready? Hey You Witch!",,2020-09-06
23,"Mabushina's Mother",,2020-09-13
24,"Let's Start a Band!",,2020-09-20
25,"That Cute Shrine Maiden",,2020-09-27
26,"Make It an Arrow Weapon",,2020-10-04
27,"Runner in a Big Pinch",,2020-10-11
28,"Shiguru Cries",,2020-10-18
29,"Atamald of Illusions",,2020-10-25
30,"The Proud Super Warrior",,2020-11-08
31,"Toys",,2020-11-15
32,"There's Something About Sayo",,2020-11-22
33,"The Giant Monster Panic Clash!",,2020-11-29
34,"A Blue and Yellow Passion",,2020-12-06
35,"A Wandering Mabushina",,2020-12-13
36,"Rap",,2020-12-20
37,"Sena 1/5",,2020-12-27
38,"Under Uncle's Moon",,2021-01-10
39,"The Emperor Is a Sniper",,2021-01-17
40,"The Pained",,2021-01-24
41,"I Want to Be as I Am",,2021-01-31
42,"A Battle Without Honor and Humanity",,2021-02-07
43,"The Dirty Hero",,2021-02-14
44,"Rest in Peace, My Friend",,2021-02-21
45,"You Were There, and Shined",,2021-02-28
