episode_number,title,synopsis,air_date
1,"Revival","A group of archaeologists open a tomb that awakens horrible monsters, while journeyman Yusuke Godai is compelled to access a strange belt from the tomb to fight back against them.",2000-01-30
2,"Transformation","A drunkard witnessed a murder by an Unidentified Lifeform near a church. Meanwhile, Yusuke is bothered by the idea of fighting and is unsure if it was right until he saw the daughter of one of the slain archaeologists crying.",2000-02-06
3,"Tokyo","Yusuke Godai leaves the message, 'I've returned to Tokyo because of some important business. But I will return tonight.'",2000-02-13
4,"Sprint","As #5 continues to rampage with her speed through Tokyo, Ichijou must come to a decision regarding whether to work alongside Yusuke.",2000-02-20
5,"Distance","Through his combination with Detective Ichijo, Yusuke Godai a.k.a. Kuuga is victorious over the Unidentified Lifeform #5, Zu-Mebio-Da.",2000-02-27
6,"Azure Dragon","In the battle against Unidentified Lifeform #6, Zu-Batsu-Ba, who had been appearing frequently in the Suginami ward, Kuuga's body changed from red to blue.",2000-03-05
7,"Grief","Three months have passed since the series of events with the Unidentified Lifeforms broke out.",2000-03-12
8,"Archer","During the battle with the bee-type monster Me-Badjisu-Ba that approaches from the sky, Kuuga's body changes from blue to green.",2000-03-19
9,"Siblings","At the combined investigation headquarters of Ichijo and other detectives, they confirm that the Unidentified Lifeforms have a habit of gathering in one location.",2000-03-26
10,"Fierceness","As Yusuke tries to convince Minori to accept his changes, he tries to figure out a method to bring out the fourth Kuuga form.",2000-04-02
11,"Promise","Yusuke's plan to meet with a former teacher to keep an old promise is interrupted by the attack of a powerful Gurongi.",2000-04-09
12,"Teacher","Sakurako helps Yusuke's former teacher renew his confidence, all while Yusuke works on a new move for Kuuga to defeat the rhino Gurongi.",2000-04-16
13,"Suspicion","While a new discovery at the Kuuga tomb begins to emerge, Ichijo investigates a man with a neck tattoo seen at the scene of a Gurongi massacre aboard a ferry.",2000-04-23
14,"Omen","Kuuga escapes battle with Unidentified Lifeform No. 23. While being treated for his injuries, Yusuke is reunited with someone who has turned their back on life.",2000-04-30
15,"Armor","Ichijo feels the pressure of working on an important day as he and Yusuke try to decipher the truth of the mysterious artifact flying toward Tokyo.",2000-05-07
16,"Creed","With the Gurongi case seemingly over, Yusuke has his bike and its new armor studied as Ichijo tries to reach out to his sick mother.",2000-05-14
17,"Preparation","A recap of the past battles between Kuuga and the Gurongi, in the midst of Yusuke facing a powerful opponent.",2000-05-21
18,"Loss","When Yusuke becomes poisoned by a sickly Gurongi, his friends and allies must come together to figure out what to do next.",2000-05-28
19,"Artifact","Tsubaki and Sakurako try to find a way of saving Yusuke's life as Ichijo and the police continue to track down the deadly mushroom Gurongi.",2000-06-04
20,"Smile","Yusuke catches up with his friends after his death scare as Me-Ginoga-De returns once again.",2000-06-11
21,"Secrets","Ichijo tracks the Bat Gurongi as it flies between Tokyo and Nagano for an unknown reason, as a Gurongi begins a new assault to gain a promotion in rank.",2000-06-25
22,"Game","As Ichijo continues to track the Bat Gurongi and deal with the tricky Me-Galme-Re, he makes new discoveries regarding the motives behind the Gurongi attacks.",2000-07-02
23,"Uneasiness","Yusuke and Sakurako worry about Kuuga's increasing power and the Rider's increased pain as the last 'Me' Gurongi makes her move at promotion.",2000-07-09
24,"Strengthening","With his powers uncontrollable and Me-Garima-Ba unable to be defeated on his own, Yusuke tries to find the means to master the growing power within Kuuga.",2000-07-16
25,"Wandering","Yusuke's old teacher worries for an elusive student who skips school to go to Tokyo, just as the first Go-level Gurongi starts his game.",2000-07-23
26,"Myself","While dealing with his first Go-level opponent, Yusuke tracks down his teacher's student to help him face his problems.",2000-07-30
27,"Ripple","Minori's friend frets over the future of her unborn child in a world with the Gurongi, as a new Go-level begins to attack swimming pools.",2000-08-06
28,"Clarification","Yusuke and Ichijo try to discover a pattern to the Go-level Gurongi to find the clue for stopping Go-Bemiu-Gi's watery attacks.",2000-08-13
29,"Crossroads","Tsubaki tries to explain and warn about Yusuke's new upgrades, while a former problem prepares for a contest amid a Gurongi attack.",2000-08-20
30,"Fate","Junichi bemoans where he belongs in the midst of the Gurongi crisis while Yusuke realizes what he must do to defeat the defense of Go-Gamego-Re.",2000-08-27
31,"Retaliation","In the aftermath of his previous battle, Yusuke recaps the evolution of Kuuga's Rising form while Go-Badaa-Ba finally begins his Gegel.",2000-09-03
32,"Obstacle","As Yusuke is outclassed by Go-Badaa-Ba, Ichijo tries to find the means to defeat it, held up by the police's fears of Kuuga's growing power.",2000-09-10
33,"Cooperation","As Yusuke struggles to find a way of stopping Go-Badaa-Ba, Ichijo makes a last-ditch effort to obtain the upgraded bike for Kuuga by any means necessary.",2000-09-17
34,"Tremble","Yusuke and Ichijo investigate a Gurongi massacring boys at a high school, while a murder summons Sakurako back to Nagano for further investigation.",2000-10-01
35,"Emotion","Unidentified Lifeform #42, the porcupine-type Go-Jaraji-Da, is given the rule to kill Midorikawa Academy's second-year boys and repeatedly murders.",2000-10-08
36,"Complication","Following a realization, Sakurako and Ichijo enter the Gurongi tomb to find new clues on the mysterious #0 as two Gurongi battle in Tokyo.",2000-10-15
37,"Approach","Sakurako makes a discovery regarding Kuuga's further evolution even as Goma continues to interfere with the pursuit of the Gegel mastermind.",2000-10-22
38,"Transition","Balva, Goma and Sakurako hint at the threat of Daguva's return, even as Yusuke and the police try to figure out #43's pattern.",2000-10-29
39,"Goma","With a dual crisis, Yusuke must manage Go-Zazalu-Ba so he can deal with the rampaging Xu-Goma-Gu, who keeps killing to draw out Daguva.",2000-11-12
40,"Impulse","Yusuke, Sakurako, Ichijo and Enokida discuss Kuuga, #0 and the mysterious final prophecy as another Gurongi begins attacking airplanes.",2000-11-19
41,"Control","Yusuke comforts Nana and tries to help her understand acting in regards to an exercise associated with the Gurongi massacres.",2000-11-26
42,"Battlefield","After an extremely intense battle with a powerful Gurongi, Yusuke and his allies discuss the connections between Kuuga and his opponents.",2000-12-03
43,"Reality","Ichijo goes to support Mika in a flute contest, where he gets involved in a hostage crisis in progress.",2000-12-10
44,"Crisis","Enokida tries to balance her work and her motherly duties as the final Go-level Gurongi uses a tactic to guarantee passage through the Final Gegel.",2000-12-17
45,"Archenemy","As Yusuke is defeated by the strengthened Go-Gadol-Ba, Enokida rushes to complete the Nerve-Shattering Bullets even at the risk of estranging her son.",2000-12-24
46,"Indomitable","Sakurako convinces Tsubaki to do another upgrade for Yusuke to handle Gadol, while Jean assists Enokida with her connection to her son.",2000-12-31
47,"Decision","Through the efforts of Kuuga and the police, Unidentified Lifeform #46 Go-Gadoru-Ba is defeated. However, it simultaneously means #0 will bring forth the ultimate darkness.",2001-01-07
48,"Kuuga","Yusuke resolves to become the 'dreadful warrior' to defeat #0, and before the final battle he rides through the downpour to thank all the people who supported him.",2001-01-14
49,"Yusuke","To defeat N-Daguba-Zeba, Yusuke transforms into the Ultimate Form. Staining the white snow field with crimson in a literal fight to the death, at last the conclusion is reached.",2001-01-21
