episode_number,title,synopsis,air_date
1,"He's Here! The Red King",,2013-02-17
2,"Gaburincho! Snapping Combination",,2013-02-24
3,"Get Mad! The Slashing Brave",,2013-03-03
4,"Fire! The Courageous Gaburivolver",,2013-03-10
5,"Boom! The Cavities of Ankydon",,2013-03-17
6,"Stop! Singing Canderrilla",,2013-03-24
7,"Angry! Daigo's in Big Trouble",,2013-03-31
8,"Where Am I? Get Through the Maze",,2013-04-07
9,"So Strong! PteraidenOh",,2013-04-14
10,"Zandar! Gold Revival",,2013-04-21
11,"Utchy! How Cool",,2013-04-28
12,"Attack! The King and I",,2013-05-05
13,"Jakireen! I'll Protect Your Heart",,2013-05-12
14,"Watch Out! The Spirit Base",,2013-05-19
15,"How Annoying! Dogold's Ambition",,2013-05-26
16,"Dig-a-dug! My Treasure",,2013-06-02
17,"Serious! Kyoryu Gray",,2013-06-09
18,"Caught! Kung-Fu Strike",,2013-06-23
19,"Kywaeen! Kidnapped Family",,2013-06-30
20,"Unluckyu! The Tanabata Windfall",,2013-07-07
21,"Zuon! Plezuon Returns",,2013-07-14
22,"Im-poss-i-ble! Deboth Resurrects",,2013-07-21
23,"Go! Bakuretsu Kyoryuzin",,2013-07-28
24,"Burn! The Seven Kyoryugers",,2013-08-04
25,"What's This! The Deboth Army's Nightmare",,2013-08-11
26,"Oh My! The Gabutyra Human",,2013-08-18
27,"O Matsurincho! Red's Super Evolution",,2013-09-01
28,"Ah Torin! The Hundred Million-Year-Old Grudge",,2013-09-08
29,"Big Attack! Dance Carnival",,2013-09-15
30,"Give It to Me! The Guardians' Fragment",,2013-09-22
31,"Vacance! The Eternal Holiday",,2013-09-29
32,"Victory! It's a Sports Match",,2013-10-06
33,"Maximum! I Will Protect the Lady",,2013-10-13
34,"Revival! Bragigas Appears",,2013-10-20
35,"Super Awesome! Gigant Kyoryuzin",,2013-10-27
36,"Giga Gaburincho! The Silver Miracle",,2013-11-10
37,"Revenge! The Ghost Deboth Army",,2013-11-17
38,"Love Touch! The Too Beautiful Zorima",,2013-11-24
39,"Full Force! The Ten Kyoryugers' Power",,2013-12-01
40,"Wowie! Pops Is Broken-Hearted",,2013-12-08
41,"Yanasanta! The Deboth World War",,2013-12-15
42,"Wonderful! Christmas of Justice",,2013-12-22
43,"The Blade of the Soul! Roar, Straizer",,2014-01-05
44,"Kaos Laughs! Destruction's Countdown",,2014-01-12
45,"That Can't Be Dad! The End of Silver",,2014-01-19
46,"The Great Duel! The Strike of Love and Tears",,2014-01-26
47,"The Great Counterattack! The Greatest Final Brave",,2014-02-02
48,"The Big Explosion! Goodbye Kyoryugers",,2014-02-09
