episode_number,title,synopsis,air_date
1,"The Universe's Number One Super Star",,2017-02-12
2,"Let's Go! The BN Thieves",,2017-02-19
3,"The Man from the Desert Planet",,2017-02-26
4,"The Dreaming Android",,2017-03-05
5,"The Nine Ultimate Saviors",,2017-03-12
6,"Flap! Dancing Star!",,2017-03-19
7,"Take Back the Birthday!",,2017-03-26
8,"The Secret of Commander Shou Ronpo",,2017-04-02
9,"Burn, Dragon Ma-Star",,2017-04-09
10,"The Small Giant, Big Star!",,2017-04-16
11,"Three Kyutamas to Save the Universe",,2017-04-23
12,"The Eleven Ultimate All-Stars",,2017-04-30
13,"Stinger, a Challenge to the Brother",,2017-05-07
14,"Dancing! Space Dragon Palace Castle!",,2017-05-14
15,"The Savior of Water Planet Vela",,2017-05-21
16,"Stinger, Reunion With the Brother",,2017-05-28
17,"Lighting the Dome of Darkness!",,2017-06-04
18,"Emergency Dispatch! Space Heroes!",,2017-06-11
19,"The Elf of Forest Planet Keel",,2017-06-25
20,"Stinger vs. Scorpio",,2017-07-02
21,"Goodbye, Scorpio! Time for Argo's Revival!",,2017-07-09
22,"The Legendary Savior's True Character",,2017-07-23
23,"Become My Shield!",,2017-07-30
24,"I Will Become a Fighting Shield!",,2017-08-06
25,"Planet Toki! The Boy's Determination",,2017-08-13
26,"Warrior of Darkness, Hebitsukai Metal",,2017-08-20
27,"Indaver Panic Within the Orion!?",,2017-08-27
28,"The BN Thieves, Breakup...",,2017-09-03
29,"Orion, the Strongest Warrior",,2017-09-10
30,"All Right! The Miraculous Kyutama",,2017-09-17
31,"The Great Naga Recovery Strategy!",,2017-09-24
32,"Orion, Forever",,2017-10-01
33,"Launch! Battle Orion Ship!",,2017-10-08
34,"The Mysterious Masked Warrior Appears",,2017-10-15
35,"The Secret of the Universe's No.1 Idol",,2017-10-22
36,"The Sleeping Legend in Lucky's Homeland",,2017-10-29
37,"Lucky, Reunion With the Father",,2017-11-12
38,"Holy Moly! The Nine Crises!",,2017-11-19
39,"The Great Adventure of Perseus",,2017-11-26
40,"Opening! Deathball of Hell",,2017-12-03
41,"Rushing! Planet Southern Cross",,2017-12-10
42,"The Father? The Universe? Lucky's Resolution",,2017-12-17
43,"""Alright, Lucky"" Sworn on the Holy Night",,2017-12-24
44,"Don Armage's Identity",,2018-01-07
45,"Tsurugi's Life and Earth's Crisis",,2018-01-14
46,"Between Hope and Despair",,2018-01-21
47,"The Saviors' Promise",,2018-01-28
48,"Echo Throughout the Universe! Alright, Lucky",,2018-02-04
