episode_number,title,synopsis,air_date
1,"The Troublemaking Phantom Thieves",,2018-02-11
2,"Global Police, Chase After Them",,2018-02-18
3,"We Will Take Them Back No Matter What",,2018-02-25
4,"An Unacceptable Relationship",,2018-03-04
5,"The Targeted Global Police",,2018-03-11
6,"What to Protect",,2018-03-18
7,"Always Being Saved",,2018-03-25
8,"The Phantom Thieves' Identities",,2018-04-01
9,"To See Them Again",,2018-04-08
10,"It Is Not Over Yet",,2018-04-15
11,"The Filming Must Go On",,2018-04-22
12,"The Magic Bracelet",,2018-04-29
13,"The Best and Worst Day Off",,2018-05-06
14,"The Set Trap",,2018-05-13
15,"A Police Officer's Duty",,2018-05-20
16,"Because We Are Comrades",,2018-05-27
17,"Secret Feelings",,2018-06-03
18,"The Secret of the Collection",,2018-06-10
19,"Compensation for Disobeying Orders",,2018-06-17
20,"The New Phantom Thief Is a Police Officer",,2018-06-24
21,"Friend or Foe? On Board or Not?",,2018-07-01
22,"Love Is an Indispensable Part of Life",,2018-07-08
23,"Status Gold",,2018-07-15
24,"A Promise to Return Alive",,2018-07-22
25,"I Will Make You Stronger Than Ever",,2018-07-29
26,"The Underground Auction",,2018-08-05
27,"Yes-Man Dancing",,2018-08-12
28,"More Fighting on My Birthday",,2018-08-19
29,"Photos Are Memories",,2018-08-26
30,"The Two Are on a Date",,2018-09-02
31,"The Gangler Who Surrendered",,2018-09-09
32,"A Challenge to a Duel",,2018-09-16
33,"We Are the Young Phantom Thieves",,2018-09-23
34,"The Legendary Gun",,2018-09-30
35,"The Good, the Bad, and the Normal",,2018-10-07
36,"Shoot the Bomb",,2018-10-14
37,"Your Place to Return",,2018-10-21
38,"The Collection Piece from Outer Space",,2018-10-28
39,"Bet on This",,2018-11-11
40,"I Can't Stop Worrying",,2018-11-18
41,"The Door to Another World",,2018-11-25
42,"Time for Battle",,2018-12-02
43,"The Man Who Came Back",,2018-12-09
44,"The Truth Found",,2018-12-16
45,"Looking Forward to Christmas",,2018-12-23
46,"An Inescapable Game",,2019-01-06
47,"What I Can Do Right Now",,2019-01-13
48,"The Face Behind the Mask",,2019-01-20
49,"As a Phantom Thief, as a Police Officer",,2019-01-27
50,"Forever Adieu",,2019-02-03
51,"I Am Sure I Will See You Again",,2019-02-10
