episode_number,title,synopsis,air_date
1,"We Are Ninja!",,2015-02-22
2,"Become the Last Ninja!",,2015-03-01
3,"The Formidable Enemy Gabi Appears!",,2015-03-08
4,"It Is Here! Paonmaru!",,2015-03-15
5,"The Space Ninja UFOmaru!",,2015-03-22
6,"Tengu's Spiriting Away",,2015-04-05
7,"Spring Ninja Festival!",,2015-04-12
8,"The Nekomata Who Leapt Through Time!",,2015-04-19
9,"Ninjutsu vs. Magic, the Great Battle!",,2015-04-26
10,"Yee-haw! The Golden Star Ninger",,2015-05-03
11,"Shinobimaru, Come Back!",,2015-05-10
12,"Ultimate Battle! Miraculous Combination",,2015-05-17
13,"Burn! Ninja Athletic Meet",,2015-05-24
14,"Beware of ""Help-Me"" Scam!",,2015-05-31
15,"Yokai, I Never Failed",,2015-06-07
16,"The Father Tsumuji Is a Super Ninja!?",,2015-06-14
17,"Goodbye, Star Ninger!",,2015-06-21
18,"The Yokai That Yakumo Loved",,2015-06-28
19,"Find! The Sky Otomonin",,2015-07-05
20,"The Chozetsu! Lion Haoh!",,2015-07-12
21,"Burn! Ninja Baseball of Dreams",,2015-07-19
22,"Super Combination! Haoh Shurikenzin",,2015-07-26
23,"It's Summer! Ninja Courage Test",,2015-08-02
24,"It's Summer! Western Yokai Arrive in Japan!",,2015-08-09
25,"It's Summer! Beware of Dracula",,2015-08-16
26,"It's Summer! Last Ninja Race Intermediate Announcement!",,2015-08-23
27,"It's Summer! Chozetsu Star Is Born!",,2015-08-30
28,"Run! Kibaoni Ninja Army",,2015-09-06
29,"Ninja Sugoroku Definitive Edition!",,2015-09-13
30,"Targeted Ninja School!",,2015-09-20
31,"The Runaway Ninja!",,2015-09-27
32,"Gekiatsu Ninja! Acha!",,2015-10-04
33,"The Kunoichi That Loved Yakumo",,2015-10-11
34,"The Legendary World Ninja Jiraiya Appears!",,2015-10-18
35,"Kinji Enters the Yokai Labyrinth!",,2015-10-25
36,"Kinji, the Glorious Superstar!",,2015-11-08
37,"Shuriken Legend ~The Road to Last Ninja~",,2015-11-15
38,"The Little Witch Loves Yakumo?",,2015-11-22
39,"Kibaoni's Son Mangetsu Appears!",,2015-11-29
40,"Look Out For Santa Claus!",,2015-12-06
41,"The Five Games of the Kibaoni Party!",,2015-12-13
42,"Otomonin Wars! The Nekomata Strikes Back",,2015-12-20
43,"The Legendary Ninja! Yokai Karuta Tactics",,2015-12-27
44,"The Final Battle! The Ordeals of the Last Ninja",,2016-01-17
45,"Three Generations of Fathers and Sons! All Ninjas Gathered",,2016-01-24
46,"The End Shuriken Awakens!",,2016-01-31
47,"To the Future Without Hiding, Heave-Ho!",,2016-02-07
