episode_number,title,synopsis,air_date
1,"Medals, Underwear, and a Mysterious Arm",,2010-09-05
2,"Desire, Ice Pops, and Presents",,2010-09-12
3,"A Cat, Evolution, and a Glutton",,2010-09-19
4,"Doubt, a Picture Message, and a Helping Hand",,2010-09-26
5,"A Game of Tag, a Nest, and a Rich Girl",,2010-10-03
6,"Fashion, a Contract, and the Strongest Combo",,2010-10-10
7,"A Lousy Husband, a Trap, and a Jackpot",,2010-10-17
8,"Sabotage, Having No Greed, and Taking a Break",,2010-10-24
9,"Drenched, the Past, and the Scorching Combo",,2010-10-31
10,"A Fist, an Experiment, and a Super Bike",,2010-11-14
11,"A Traveler, a Swallowtail, and a Celebrity",,2010-11-21
12,"An Eel, the World, and the Gravity Combo",,2010-11-28
13,"A Siamese Cat, Stress, and the Genius Surgeon",,2010-12-05
14,"Pride, Surgery, and a Secret",,2010-12-12
15,"The Medal Struggle, the Transport Truck, and the Container",,2010-12-19
16,"An End, the Greeed, and a New Rider",,2010-12-26
17,"The Kendo Girl, Oden, and the Splitting Yummy",,2011-01-09
18,"Destruction, Motives, and the Eel Whip",,2011-01-16
19,"The Red Medal, the Detective, and Betrayal",,2011-01-23
20,"A Decoy, the Qualifications, and the Blazing Combo",,2011-01-30
21,"The Grasshopper, the Father and Son, and the Ally of Justice",,2011-02-06
22,"Chocolate, Faith, and the Power of Justice",,2011-02-13
23,"Beauty, the Egg, and the Sleeping Desire",,2011-02-20
24,"Memories, Love, and the Ocean Combo",,2011-02-27
25,"The Boxer, the Left Hand, and the Bird Yummy",,2011-03-06
26,"Ankh, the Ring, and Putting it All On",,2011-03-20
27,"1000, a Movie, and the Combatman",,2011-03-27
28,"1000, the Kamen Riders, and the Birthday",,2011-04-03
29,"The Older Sister, the Doctor, and the Truth About Ankh",,2011-04-10
30,"The King, the Panda, and the Blazing Memory",,2011-04-17
31,"Returning the Favor, the Plan, and the Purple Medals",,2011-04-24
32,"A New Greeed, Desire, and the Invincible Combo",,2011-05-01
33,"Friendship, Chaos, and the Belt Left Behind",,2011-05-08
34,"The Close Friend, the Use, and This Connection",,2011-05-15
35,"The Dream, the Brother, and Birth's Secret",,2011-05-22
36,"Broken Dreams, the Body, and the Greeed Resurrection",,2011-05-29
37,"Sleep, One Hundred Million, and the Birth Transfer",,2011-06-05
38,"The Circumstances, a Farewell, and the Tearful Birth",,2011-06-12
40,"Control, a Birthday Party, and the Disappearing Ankh",,2011-07-03
41,"Siblings, the Rescue, and Eiji Leaves",,2011-07-10
42,"Ice, Greeedification, and Broken Wings",,2011-07-17
43,"The Vulture, the Confrontation, and Ankh Returns",,2011-07-24
45,"The Surprise Attack, the Proto Birth, and the Desire of Love",,2011-08-07
46,"The Eiji Greeed, the Double Births, and Ankh's Desire",,2011-08-14
47,"The Red Crack, the Satisfaction, and Eiji's Vessel",,2011-08-21
48,"Tomorrow's Medals, Underwear, and Arms Held",,2011-08-28
