episode_number,title,synopsis,air_date
1,"Family! Contract! The Devil Whispers!",,2021-09-05
2,"The Devil Is Just a Bad Guy!?",,2021-09-12
3,"Hostage Trouble, What Will the Brothers Do!?",,2021-09-19
4,"Not Enough Love! A Dangerous Devil Is Born!",,2021-09-26
5,"The World-Reforming Rider! Who Is the Traitor!?",,2021-10-03
6,"Evil's True Identity! A Shocking Showtime!?",,2021-10-10
7,"Theft!? Skateboard!? I'm Kagero!",,2021-10-17
8,"A Family Rest, Heaven and Hell!?",,2021-10-24
9,"Kagero Runs Rampant! The Igarashi Brothers...Crumble!?",,2021-10-31
10,"Older and Younger Brother, Believing Heart",,2021-11-14
11,"Invincible Sakura, Power for What Purpose",,2021-11-21
12,"Weakness Is Strength!? The Invincible Jeanne!",,2021-11-28
13,"Fenix's Close Call!",,2021-12-05
14,"The Commander Is...a Deadman!?",,2021-12-12
15,"Eradication! Showdown! Deadmans!",,2021-12-19
16,"Feelings to Protect... The Era of the Three Igarashi Siblings!",,2021-12-26
17,"Deepening Betrayal, the True Value of a Buddy",,2022-01-09
18,"A Buddy's Trajectory, the Miracle of Fire and Ice",,2022-01-16
19,"Demons Warning, Hiromi Is Surrounded!?",,2022-01-23
20,"Ruthless and Temporary, the Price of Transformation",,2022-01-30
21,"Laying Down My Life, Entrusting My Feelings",,2022-02-06
22,"Slam-Bang... Kūki Kaidan!?",,2022-02-13
23,"Vice Takes Over... Betrayal After All!?",,2022-02-20
24,"Reversed by Dr. Karizaki! An Inverse Operation!",,2022-02-27
25,"Revival! Vail!? Memories of the Igarashi Family",,2022-03-06
26,"Showdown! Farewell!? The End of Darkness and Light",,2022-03-13
27,"Stop! Tyrant's Mayhem and Violence Gone Wild",,2022-03-20
28,"Overcoming Fear at Lightning Speed! Believe in Yourself as One!",,2022-03-27
29,"Crank-in! Memory of Hiromi!",,2022-04-03
30,"Voice Actor! Say Me! The Aftermath of Youth",,2022-04-10
31,"Illusionary Guidance, Dream Afterwards",,2022-04-17
32,"Lost Place, Queen's Pride",,2022-04-24
33,"Lovekov's Rebellion!? Sakura's Resolution",,2022-05-01
34,"The Demon Calls the Demon",,2022-05-08
35,"Unknown Threat, the Way People Should Go",,2022-05-15
36,"Humanity at the Crossroads, Each One's Determination",,2022-05-22
37,"Inevitable Fierce Battle! The Risky Demon Recapture Mission!",,2022-05-29
38,"Father and Son Weaving Together! The Ultimate Revice!",,2022-06-05
39,"Hope and Despair, the Conflict Between Three Siblings",,2022-06-12
40,"Family or the World... A Brothers Quarrel of the Soul!",,2022-06-19
41,"A Father's True Intention, a Son's Determination!",,2022-06-26
42,"Fierce Battle! Crimson Vail and Destream",,2022-07-03
43,"The End of Eternity, Where Regret Leads",,2022-07-10
44,"Laying Down My Body and Soul, the Path of the Decision",,2022-07-17
45,"Never-Ending Nightmare, Protectors and the Protected",,2022-07-24
46,"Courage to Face Each Other... What Should You Really Protect?",,2022-07-31
47,"Karizaki's Rebellion, the Price of Transformation",,2022-08-07
48,"Proof of Determination! This Is...Japan's No. 1 Busybody!",,2022-08-14
49,"At the End of the Battle... Only the Demon Remains",,2022-08-21
50,"Family to the End, Until the Day We Meet Again",,2022-08-28
