episode_number,title,synopsis,air_date
1,"The Secret Story's Birth",,2002-02-03
2,"Giant Spider Counterattack",,2002-02-10
3,"School Ghost Story",,2002-02-17
4,"School Ghost Story 2",,2002-02-24
5,"The Monster's Antique Store",,2002-03-03
6,"The Mysterious Rider",,2002-03-10
7,"A New Species Is Born?",,2002-03-17
8,"The Fourth, Zolda",,2002-03-24
9,"Shinji's Arrested!?",,2002-03-31
10,"Knight's Crisis",,2002-04-07
11,"The Mysterious Empty Train",,2002-04-14
12,"Ren Akiyama's Lover",,2002-04-21
13,"That Man, Zolda",,2002-04-28
14,"Revival Day",,2002-05-05
15,"Iron Mask Legend",,2002-05-12
16,"Card of Destiny",,2002-05-19
17,"The Grieving Knight",,2002-05-26
18,"Jailbreak Rider",,2002-06-02
19,"Rider Gathering",,2002-06-09
20,"The Traitorous Ren",,2002-06-16
21,"Yui's Past",,2002-06-23
22,"Raia's Revenge",,2002-06-30
23,"Changing Destiny",,2002-07-07
24,"Ouja's Secret",,2002-07-14
25,"Combining Ouja",,2002-07-21
26,"Zolda's Assault",,2002-07-28
27,"The 13th Rider",,2002-08-04
28,"Time Vent",,2002-08-11
29,"Marriage Interview Battle",,2002-08-18
30,"Zolda's Lover",,2002-08-25
31,"The Girl and Ouja",,2002-09-01
32,"Secret Data Gathering",,2002-09-08
33,"The Mirror's Magic",,2002-09-15
34,"Friendship's Battle",,2002-09-22
35,"Enter Tiger",,2002-09-29
36,"The Battle Ends",,2002-10-06
37,"Sleep Is Awakening",,2002-10-13
38,"Targeted Yui",,2002-10-20
39,"A Dangerous Sign",,2002-10-27
40,"Memories of an Older Brother and Younger Sister",,2002-11-10
41,"Imperer",,2002-11-17
42,"Room 401",,2002-11-24
43,"The Hero Fights",,2002-12-01
44,"Glassy Happiness",,2002-12-08
45,"The Twentieth Birthday",,2002-12-15
46,"Tiger's a Hero",,2002-12-22
47,"Determination of Battle",,2002-12-29
48,"The Final 3 Days",,2003-01-05
49,"Granting a Wish",,2003-01-12
50,"A New Life",,2003-01-19
