episode_number,title,synopsis,air_date
1,"In the Beginning, There Was a Flame Swordsman",,2020-09-06
2,"The Water Swordsman Along With a Blue Lion",,2020-09-13
3,"A Father and a Swordsman",,2020-09-20
4,"The Book Was Opened, Therefore",,2020-09-27
5,"My Friend Is the Thunder Swordsman",,2020-10-04
6,"Appearing Like the Wind",,2020-10-11
7,"The Sword of the King Lies in Avalon",,2020-10-18
8,"The Sealed Arthur",,2020-10-25
9,"The Overlapping of the Swordsman's Timbre",,2020-11-08
10,"Crossing Swords and Crossing Feelings",,2020-11-15
11,"The Storming Thunder and the Spreading of Dark Clouds",,2020-11-22
12,"In That Place Where We Made Our Promise",,2020-11-29
13,"I Will Stick to My Convictions",,2020-12-06
14,"These Feelings Dwell in the Sword",,2020-12-13
15,"Beyond the Resolution",,2020-12-20
16,"A Ray of Light That Saves the World",,2020-12-27
17,"Whether the Ancient Messenger Is Light or Shadow",,2021-01-10
18,"Defeating the Megid With a Flaming Tenacity",,2021-01-17
19,"Flame and Light, Sword and Sword",,2021-01-24
20,"The Will of the Sword to Destroy the Stronghold",,2021-01-31
21,"Shine Brightest in Full Color",,2021-02-07
22,"Even So, I Still Want to Save People",,2021-02-14
23,"The Raging Hand of Destruction",,2021-02-21
24,"Father's Back Bearing the Future",,2021-02-28
25,"The Crimson Assassin Enveloped in Smoke",,2021-03-07
26,"Deep Darkness With a Sword",,2021-03-14
27,"Turning Sorrow into a Smile",,2021-03-21
28,"Writing the Past, Drawing the Future",,2021-03-28
29,"At That Moment, the Swordsman Made His Move",,2021-04-04
30,"Even When Bonds Are Torn Apart",,2021-04-11
31,"Strength to Trust, Strength to Believe in",,2021-04-18
32,"My Feelings Crystallized",,2021-04-25
33,"Even So, the Future Can Be Changed",,2021-05-02
34,"The Immortal Swordsman Awakens",,2021-05-09
35,"And I Will Become a God",,2021-05-16
36,"The Power of the Almighty Is Opened",,2021-05-23
37,"Who Will Change the Future?",,2021-05-30
38,"The Galactic Sword That Unites the Seiken",,2021-06-06
39,"Swordsmen, Follow the Path You Believe in",,2021-06-13
40,"The Shining Friendship of Three Swordsmen",,2021-06-20
41,"A Wish Composed Over Two Thousand Years",,2021-06-27
42,"The Beginning of a Beautiful Ending",,2021-07-04
43,"A Clash of the Value of Existence",,2021-07-11
44,"The Last Page Is Opened",,2021-08-01
45,"Ten Swordsmen With the World on the Line",,2021-08-08
46,"Farewell, My Hero",,2021-08-15
47,"The End of the World, the Birth of a Story",,2021-08-22
48,"When a New Page Is Opened",,2021-08-29
