episode_number,title,synopsis,air_date
1,"The Gallant Appearance of the Five Samurai",,2009-02-15
2,"The Stylish Combination",,2009-02-22
3,"An Extermination Skill Contest",,2009-03-01
4,"Nightly Tears of Sympathy",,2009-03-08
5,"The Kabuto Origami",,2009-03-15
6,"The Abusive King",,2009-03-22
7,"Marlin Fishing",,2009-03-29
8,"The Brides are Spirited Away",,2009-04-05
9,"The Tiger's Rebellion",,2009-04-12
10,"The Great Sky Combination",,2009-04-19
11,"A Threefold Strife",,2009-04-26
12,"The Very First Super Samurai Combination",,2009-05-03
13,"Heavy Cries",,2009-05-10
14,"The Foreign Samurai",,2009-05-17
15,"The Imposter and the Real Deal's Arrest",,2009-05-24
16,"The Power of the Kuroko",,2009-05-31
17,"The Sushi Samurai",,2009-06-07
18,"Samurai Promotion",,2009-06-14
19,"Learning the Samurai Disposition",,2009-06-28
20,"The Ebi Origami's Transformation",,2009-07-05
21,"The Father and Son Bears",,2009-07-19
22,"Lord Butler",,2009-07-26
23,"The Rampaging Gedoushu",,2009-08-02
24,"The True Samurai Combination",,2009-08-09
25,"The Dream World",,2009-08-16
26,"Decisive Match Number One",,2009-08-23
27,"The Switched Lives",,2009-08-30
28,"The Lantern Samurai",,2009-09-06
29,"The Runaway Lantern",,2009-09-13
30,"The Manipulated Academy",,2009-09-20
31,"The Kyoryu Origami",,2009-09-27
32,"The Ushi Origami",,2009-10-04
33,"The Great Bull King",,2009-10-11
34,"Fatherly Love, Girlish Innocence",,2009-10-18
35,"The Eleven Origami, The Complete Combination",,2009-10-25
36,"The Curry Samurai",,2009-11-01
37,"The Epic Glue Battle",,2009-11-08
38,"Showdown with the Rifle Squad",,2009-11-15
39,"The Very Urgent First Aid Emergency",,2009-11-22
40,"The General Heads to the Front Lines",,2009-11-29
41,"The Sent Words",,2009-12-06
42,"The Two-Hundred Year Long Ambition",,2009-12-13
43,"One Last Sword Stroke",,2009-12-20
44,"The Eighteenth Head of the Shiba House",,2010-01-03
45,"The Impersonator",,2010-01-10
46,"The Showdown Clash",,2010-01-17
47,"Bonds",,2010-01-24
48,"The Final Great Decisive Battle",,2010-01-31
49,"A Samurai Sentai Eternally",,2010-02-07
