episode_number,title,synopsis,air_date
1,"Let's Go on the Express Ressha",,2014-02-16
2,"We Are Here",,2014-02-23
3,"Risking Everything After Reaching the Wrong Conclusion",,2014-03-02
4,"Be Careful Not to Lose Anything",,2014-03-09
5,"The Missing Other Side of the Tracks",,2014-03-16
6,"What Are We Looking For?",,2014-03-23
7,"Inconsolable, Unmotivatable",,2014-04-06
8,"Big Explosion on the Rainbow Line",,2014-04-13
9,"Memory Is a One-Way Ticket",,2014-04-20
10,"Tokatti Dies at Sunset",,2014-04-27
11,"The Dark Emperor",,2014-05-04
12,"The Rainbow Commuter Pass",,2014-05-11
13,"Run Fire Extinguisher",,2014-05-18
14,"Lost Cop, Great Detective",,2014-05-25
15,"The Thing In Your Heart",,2014-06-01
16,"The Dangerous Extraordinary Ressha",,2014-06-08
17,"The Sky After the Rain",,2014-06-22
18,"And What Do We Call You?",,2014-06-29
19,"Now Departing! Build DaiOh",,2014-07-06
20,"Smiling Is Dangerous",,2014-07-13
21,"The Runaway Bride",,2014-07-20
22,"Birth of the Empress",,2014-07-27
23,"United Hand in Hand",,2014-08-10
24,"Pass the Junction",,2014-08-17
25,"Right Out of a Fairy Tale",,2014-08-24
26,"The Fight that Started in a Bathhouse",,2014-08-31
27,"A New Power",,2014-09-07
28,"Uncool but Cool",,2014-09-14
29,"The Meeting with the Oncoming Train",,2014-09-21
30,"The Birthday Celebration",,2014-09-28
31,"The Hyper Ressha Terminal",,2014-10-05
32,"Determination",,2014-10-12
33,"Karate Hot Match",,2014-10-19
34,"Love Furor",,2014-10-26
35,"The Stolen Terminal",,2014-11-09
36,"A+ Dream",,2014-11-16
37,"Unreasonable Quiz",,2014-11-23
38,"Let's Make a Movie",,2014-11-30
39,"The Beginning of the End",,2014-12-07
40,"Who Is He? He Is Whom?",,2014-12-14
41,"The Christmas Battle",,2014-12-21
42,"Words to Reach You",,2014-12-28
43,"The Locked Door",,2015-01-11
44,"To Subarugahama",,2015-01-18
45,"The Home We Left Behind",,2015-01-25
46,"The Last Stop",,2015-02-08
47,"A Shining Thing",,2015-02-15
