episode_number,title,synopsis,air_date
1,"Arc to the Future",,2024-07-06
2,"Legend in the Woods",,2024-07-13
3,"Unleash Your Imagination!",,2024-07-20
4,"On the Kaiju's Tail",,2024-07-27
5,"Ocean on the Mountain Ridge",,2024-08-03
6,"Welcome to the Akebono Inn",,2024-08-10
7,"The Full Moon's Answer",,2024-08-24
8,"Internet Kanegon",,2024-08-31
9,"Goodbye, Rin",,2024-09-07
10,"To My Distant Friend",,2024-09-14
11,"Message",,2024-09-21
12,"You Are Givas",,2024-09-28
13,"Shu's Report",,2024-10-05
14,"Flash of the Past",,2024-10-12
15,"The Wandering Future",,2024-10-19
16,"The Light of Fear",,2024-11-02
17,"Demon Slicing Meteor Sword",,2024-11-09
18,"Arc Cooperation Request",,2024-11-16
19,"The Transcending Wish",,2024-11-23
20,"What Is Passed Down",,2024-11-30
21,"The Dream Bird",,2024-12-07
22,"The Man in the White Mask",,2024-12-14
23,"Calamity Thrice",,2024-12-21
24,"The Descending Dream",,2025-01-11
25,"Time to Run, Yuma!",,2025-01-18
