episode_number,title,synopsis,air_date
1,"First Wave",,2023-07-08
2,"The Man Who Created SKaRD",,2023-07-15
3,"The Name Is Earth Garon",,2023-07-22
4,"Thus Fought Emi",,2023-07-29
5,"The Mountain Roars",,2023-08-05
6,"The Invading Aurora",,2023-08-19
7,"Rainbow Appears: Part 1",,2023-08-26
8,"Rainbow Appears: Part 2",,2023-09-02
9,"Planet of Music",,2023-09-09
10,"Parent and Child",,2023-09-16
11,"Escape",,2023-09-23
12,"Let's Go, Blazar!",,2023-09-30
13,"SKaRD Nocturne",,2023-10-07
14,"Moonlit Memories",,2023-10-14
15,"Betwixt Morn and Dusk",,2023-10-21
16,"Terror from the Underground",,2023-10-28
17,"The Wanderling Zangill",,2023-11-11
18,"The Towering Terror",,2023-11-18
19,"Light and Flame",,2023-11-25
20,"Night of Insects Chirping",,2023-12-02
21,"Battle in the Sky",,2023-12-09
22,"Insurance Hero",,2023-12-16
23,"Visitor 99",,2023-12-23
24,"The Approaching Third Wave",,2024-01-13
25,"The Ones Who Embrace the Earth",,2024-01-20
