episode_number,title,synopsis,air_date
1,"Reunion With Light",,2001-07-07
2,"Shadow of the Chaos Header",,2001-07-14
3,"Fly! Musashi",,2001-07-21
4,"The Fallen Robot",,2001-07-28
5,"Revenge of the Fireflies",,2001-08-04
6,"Monster Fishing",,2001-08-11
7,"Present from the Sky",,2001-08-18
8,"Sleeping Maiden",,2001-08-25
9,"Friend in the Forest",,2001-09-01
10,"The Bronze Devil",,2001-09-08
11,"Move! Monster",,2001-09-15
12,"The Organism of Light",,2001-09-22
13,"Daughter of Time: Part 1",,2001-09-29
14,"Daughter of Time: Part 2",,2001-10-06
15,"Deep Sea Fight",,2001-10-13
16,"The Flying Whale",,2001-10-20
17,"The Different Dimensional Trap",,2001-10-27
18,"The Legend of Mt. Nibito",,2001-11-03
19,"Star Lover",,2001-11-10
20,"Musashi's Sky",,2001-11-17
21,"The Battle With the Tech Booster: Part 1",,2001-11-24
22,"The Battle With the Tech Booster: Part 2",,2001-12-01
23,"Luna vs. Luna",,2001-12-08
24,"Warm Memories",,2001-12-15
25,"Alien Girl",,2001-12-22
26,"The Power to Defeat the Chaos",,2001-12-29
27,"A Space Monster Is Born on Earth",,2002-01-05
28,"Strength and Power",,2002-01-12
29,"Dreaming Courage",,2002-01-19
30,"Eclipse",,2002-01-26
31,"Rescue Gon",,2002-02-02
32,"The Nightmare Experiment",,2002-02-09
33,"Monster Hunter",,2002-02-16
34,"Wrath of the Sea God",,2002-02-23
35,"The Magic Stone",,2002-03-02
36,"The Mountain of Yōkai",,2002-03-09
37,"Fubuki Retires?!",,2002-03-16
38,"Alien Old Man",,2002-03-23
39,"Light of Evil",,2002-03-30
40,"Giant of Evil",,2002-04-06
41,"The Green Fugitive",,2002-04-13
42,"Friend",,2002-04-20
43,"Puppet Monster",,2002-04-27
44,"Ghighi vs. Gon",,2002-05-04
45,"The Amusement Park Legend",,2002-05-11
46,"The Miraculous Flower",,2002-05-18
47,"Sorceress of the Sky",,2002-05-25
48,"Waroga Counterattack",,2002-06-01
49,"Snow of Space",,2002-06-08
50,"Monster Smuggling!?",,2002-06-15
51,"Enemy of Chaos",,2002-07-20
52,"Transformation Impossible!?",,2002-07-20
53,"Future Monster",,2002-07-27
54,"Human Transporter",,2002-08-03
55,"Final Test",,2002-08-03
56,"Kappa Village",,2002-08-03
57,"Door of Snow",,2002-08-10
58,"The Sky of Revenge",,2002-08-10
59,"Maximum Invasions",,2002-08-17
60,"Chaos War",,2002-08-24
61,"Forbidden Weapon",,2002-08-31
62,"Cry of the Earth",,2002-09-07
63,"Chaos's Violent Attack",,2002-09-14
64,"Deathmatch on the Moon",,2002-09-21
65,"True Hero",,2002-09-28
