episode_number,title,synopsis,air_date
1,"A New Light (Part 1)",,1997-09-06
2,"A New Light (Part 2)",,1997-09-13
3,"Awaken, Asuka!",,1997-09-20
4,"Battle! The Underground City",,1997-09-27
5,"Winning Shot",,1997-10-04
6,"The Biggest Monster on Earth",,1997-10-11
7,"The Friend in a Box",,1997-10-18
8,"Bao-on Far Away",,1997-10-25
9,"Attack of Two Thousand Creatures",,1997-11-01
10,"The Forbidden Geoglyph",,1997-11-08
11,"Phantom Planet",,1997-11-15
12,"Phantom Thief Himala",,1997-11-22
13,"Monster Factory",,1997-11-29
14,"The Lord Who Sleeps on the Moon",,1997-12-06
15,"Gentle Target",,1997-12-13
16,"The Fierce Battle! Monster Island",,1997-12-20
17,"Ghost Spaceship",,1997-12-27
18,"The Girls Who Call on Darkness",,1998-01-10
19,"The Phantom Bird",,1998-01-17
20,"The Alien Boy",,1998-01-24
21,"Fever Monster – 3000 Degrees",,1998-01-31
22,"The Soldiers of Tsukuyo",,1998-02-07
23,"Fortress of Dreams",,1998-02-14
24,"Vampire of the Lake",,1998-02-21
25,"Clarkov, Come to the Surface! (Part 1)",,1998-02-28
26,"Clarkov, Come to the Surface! (Part 2)",,1998-03-07
27,"Monster Game",,1998-03-14
28,"Forest of the Ape-Man",,1998-03-21
29,"In the Light of Fate",,1998-03-28
30,"Invasion Scenario",,1998-04-04
31,"Battle to Death! Dyna vs. Dyna",,1998-04-11
32,"The Singing Exploration Robot",,1998-04-18
33,"Star of Peace",,1998-04-25
34,"The Time of Decision",,1998-05-02
35,"The Uncanny Smile (Part 1)",,1998-05-09
36,"The Uncanny Smile (Part 2)",,1998-05-16
37,"Yumenokatamari",,1998-05-23
38,"Monster Drama",,1998-05-30
39,"The Light and Shadows of Youth",,1998-06-06
40,"Tree of Jagila",,1998-06-13
41,"We Want to See Our Earth",,1998-06-20
42,"A Vanishing Dream",,1998-06-27
43,"Captain Long-Legs",,1998-07-04
44,"Venus Snow",,1998-07-11
45,"Churasa's Tears",,1998-07-18
46,"The Power of Love",,1998-07-25
47,"Farewell, Hanejiro",,1998-08-01
48,"N'damoshite X",,1998-08-08
49,"Final Chapter I: A New Shadow",,1998-08-15
50,"Final Chapter II: Destruction of the Solar System",,1998-08-22
51,"Final Chapter III: To Tomorrow…",,1998-08-29
