episode_number,title,synopsis,air_date
1,"Seize the Light!",,1998-09-05
2,"A Hero Appears",,1998-09-12
3,"His Name is Gaia",,1998-09-19
4,"Gamu of the Sky",,1998-09-26
5,"Another Giant",,1998-10-03
6,"The Ridiculing Eye",,1998-10-10
7,"Cleansing of the Earth",,1998-10-17
8,"The 4 Billion 6 Hundred Million Year-Old Ghost",,1998-10-24
9,"Seagull Takes Off",,1998-10-31
10,"Rock Fight",,1998-11-07
11,"The City Where the Dragon Lies",,1998-11-14
12,"Monster Encircling Net",,1998-11-21
13,"Night of the Marionettes",,1998-11-28
14,"Challenge from the Anti-Space",,1998-12-05
15,"When the Rain Stops",,1998-12-12
16,"Birth of Agul",,1998-12-19
17,"Shadow of the Sky, Light of the Earth",,1998-12-26
18,"Agul vs. Gaia",,1999-01-09
19,"Lilia's Labyrinth",,1999-01-16
20,"The Fossil of Ruin",,1999-01-23
21,"The Sea of a Mysterious Light",,1999-01-30
22,"Stone Wings",,1999-02-06
23,"Gamu Expelled!",,1999-02-13
24,"Determination of Agul",,1999-02-20
25,"The Showdown for Tomorrow",,1999-02-27
26,"The Final Resolution",,1999-03-06
27,"A New Battle: Version-up Fight!",,1999-03-13
28,"The Advent of the Heatwave",,1999-03-20
29,"Distant City, Uqbar",,1999-03-27
30,"The Demon's Cocoon",,1999-04-03
31,"The Accursed Eye",,1999-04-10
32,"The Future Seen Before",,1999-04-17
33,"Battling the Legend",,1999-04-24
34,"Crash of Souls!",,1999-05-01
35,"Ransom for a Monster",,1999-05-08
36,"The Sky of Reunion",,1999-05-15
37,"Fourth Symphony of a Nightmare",,1999-05-22
38,"Ground-Breaking Tusks!",,1999-05-29
39,"The Lake of Sadness",,1999-06-05
40,"I Want to Meet Gaia!",,1999-06-12
41,"Resurrection of Agul",,1999-06-19
42,"Gamu vs. Gamu",,1999-06-27
43,"The Silver Eyes of Izak",,1999-07-03
44,"The Attack of the Space Monsters",,1999-07-10
45,"The Living Planet",,1999-07-17
46,"The Attack of the Forest",,1999-07-24
47,"XIG Destroyed!?",,1999-07-31
48,"The Revenge of the Death God",,1999-08-07
49,"An Angel Descends",,1999-08-14
50,"Cry of the Earth",,1999-08-21
51,"Earth is the Star of Ultraman",,1999-08-28
