episode_number,title,synopsis,air_date
1,"Welcome to the Secret Base",,2017-07-08
2,"The Girl Who Cuts Monsters",,2017-07-15
3,"Salaryman Zero",,2017-07-22
4,"A Job Where You Investigate Aliens",,2017-07-29
5,"Partners",,2017-08-05
6,"So That I Can Be Me",,2017-08-12
7,"Sacrifice",,2017-08-19
8,"Going Beyond Fate",,2017-08-26
9,"The Sword of an Oath",,2017-09-02
10,"I Read Minds",,2017-09-09
11,"The Geed Identity",,2017-09-15
12,"My Name",,2017-09-23
13,"Restore Memories",,2017-09-30
14,"Shadows of Shadows",,2017-10-07
15,"Child of Battle",,2017-10-14
16,"The First Day of the End of the World",,2017-10-21
17,"The King's Miracle! Time to Change Fate!!",,2017-10-28
18,"Inheritor of the Dream",,2017-11-04
19,"Nebula House Invasion",,2017-11-11
20,"The 10:00 AM Monsterous Bird",,2017-11-18
21,"Pega Runs Away from Home",,2017-11-25
22,"Repossession",,2017-12-02
23,"The Sturm's Light",,2017-12-09
24,"The Fragments of Hope",,2017-12-16
25,"The Symbol of Geed",,2017-12-23
