episode_number,title,synopsis,air_date
1,"A Fateful Encounter",,2006-04-08
2,"Our Wings",,2006-04-15
3,"Only One Life",,2006-04-22
4,"Broken Bonds",,2006-04-29
5,"A Game Changing Shot",,2006-05-06
6,"The Two Under the Deep Sea",,2006-05-13
7,"Fanton's Lost Item",,2006-05-20
8,"Horrifying Predator",,2006-05-27
9,"Armor of Vengeance",,2006-06-03
10,"Pride of GUYS",,2006-06-10
11,"Mother's Miracle",,2006-06-17
12,"The First Errand",,2006-06-24
13,"Marina in the Wind",,2006-07-01
14,"One Road",,2006-07-08
15,"Fortress of the Phoenixes",,2006-07-15
16,"A Sword Master from Space",,2006-07-22
17,"Formation of Our Vows",,2006-07-29
18,"Pressure on Ultraman",,2006-08-05
19,"The Isolated Grandstand",,2006-08-12
20,"The Chief Inspector's Message",,2006-08-19
21,"A Call from Void",,2006-08-26
22,"Future Days",,2006-09-02
23,"The Ocean Waves of Time",,2006-09-09
24,"Resurrection of Yapool",,2006-09-16
25,"The Poisonous Moth's Program",,2006-09-23
26,"Flying to Tomorrow",,2006-09-30
27,"The Champion of the Fierce Fight",,2006-10-07
28,"Konomi's Treasure",,2006-10-14
29,"Day of Farewell",,2006-10-21
30,"The Flame of Promise",,2006-10-28
31,"The Hopes of Comrades",,2006-11-04
32,"The Monster Tamer's Legacy",,2006-11-11
33,"The Woman With Blue Fire",,2006-11-18
34,"The Man Who Lost His Hometown",,2006-11-25
35,"The Ultramarine Light and Shadow",,2006-12-02
36,"Mirai's Younger Sister",,2006-12-16
37,"Father's Back",,2006-12-23
38,"Isana of the Ocean",,2007-01-06
39,"The Invincible Mother",,2007-01-13
40,"Lonely Paradise",,2007-01-20
41,"Teacher's Memories",,2007-01-27
42,"An Old Friend's Visit",,2007-02-03
43,"Threatening Mebius Killer",,2007-02-10
44,"Ace's Wish",,2007-02-17
45,"Deathrem's Plan",,2007-02-24
46,"Immortal Grozam",,2007-03-03
47,"Mephilas's Game",,2007-03-10
48,"Advent of the Emperor: Final Trilogy I",,2007-03-17
49,"Dark Clouds of Despair: Final Trilogy II",,2007-03-24
50,"Words from the Heart: Final Trilogy III",,2007-03-31
