episode_number,title,synopsis,air_date
1,"The Sunset Wanderer",,2016-07-09
2,"The Lord of Earth",,2016-07-16
3,"Monstrous Waters",,2016-07-23
4,"Beware of Fire in the Midsummer Sky",,2016-07-30
5,"A Heart That Won't Run Away",,2016-08-06
6,"The Forbidden Forest",,2016-08-13
7,"A Future Shrouded in Fog",,2016-08-20
8,"The Urban Merman",,2016-08-27
9,"The Impostor Blues",,2016-09-03
10,"Juggler Dies!",,2016-09-10
11,"Trouble! Mama Is Here!",,2016-09-17
12,"The Dark King's Blessing",,2016-09-24
13,"Cleanup of the Heart",,2016-10-01
14,"Justice Out of Control",,2016-10-08
15,"Never Say Never",,2016-10-15
16,"A Unforgettable Place",,2016-10-22
17,"The Holy Sword, Restored",,2016-10-29
18,"Hard-Boiled River",,2016-11-05
19,"The Demon Inside of Me",,2016-11-12
20,"Revenge's Trigger",,2016-11-19
21,"The Girl with the Blue Ribbon",,2016-11-26
22,"The Unmarked Café",,2016-12-03
23,"The Blade of Darkness",,2016-12-10
24,"The Ultimate Lord Monster Strikes Back",,2016-12-17
25,"The Wandering Sun",,2016-12-24
