episode_number,title,synopsis,air_date
1,"Inheritance of Light",,1996-09-07
2,"Legend of the Stone",,1996-09-14
3,"The Devil's Prophecy",,1996-09-21
4,"Goodbye, Planet Earth",,1996-09-28
5,"The Day When the Monster Appeared",,1996-10-05
6,"Second Contact",,1996-10-12
7,"The Man Who Came Down to Earth",,1996-10-19
8,"On the Night of Halloween",,1996-10-26
9,"The Girl Who Waits for the Monster",,1996-11-02
10,"The Abandoned Amusement Park",,1996-11-09
11,"Requiem to the Darkness",,1996-11-16
12,"S.O.S from the Bottom of the Sea",,1996-11-23
13,"Human Collection",,1996-11-30
14,"The Unleashed Target",,1996-12-07
15,"Phantom Dash",,1996-12-14
16,"The Revived Demon",,1996-12-21
17,"The Battle Between Red and Blue",,1996-12-28
18,"Golza Strikes Back!",,1997-01-04
19,"GUTS Into Space (Part 1)",,1997-01-11
20,"GUTS Into Space (Part 2)",,1997-01-18
21,"Deban's Turn!",,1997-01-25
22,"The Fog is Coming",,1997-02-01
23,"Planet of the Dinosaurs",,1997-02-08
24,"Go! Monster Expedition Squad",,1997-02-15
25,"The Devil's Judgement",,1997-02-22
26,"The Mysterical Monsterland",,1997-03-01
27,"I Saw Obiko!",,1997-03-08
28,"One Vanishing Moment",,1997-03-15
29,"A Whiter Shade of Pale",,1997-03-22
30,"The Monster Zoo",,1997-03-29
31,"GUTS Base Under Attack",,1997-04-05
32,"The Battle of Zelda Point",,1997-04-12
33,"Vampire City",,1997-04-19
34,"To The Farthest South",,1997-04-26
35,"Sleeping Beauty",,1997-05-03
36,"The Smile Across Space and Time",,1997-05-10
37,"Flower",,1997-05-17
38,"The Mirage Monster",,1997-05-24
39,"Dear Mr. Ultraman",,1997-05-31
40,"Dream",,1997-06-07
41,"A Friend from Space",,1997-06-14
42,"The City Where the Girl Disappeared",,1997-06-21
43,"The Land Shark",,1997-06-28
44,"Inheritance of Shadow",,1997-07-05
45,"Eternal Life",,1997-07-12
46,"Let's Go to Kamakura",,1997-07-19
47,"Goodbye to Darkness",,1997-07-26
48,"Fugitive from the Moon",,1997-08-02
49,"Star of Ultra",,1997-08-09
50,"Take Me Higher!",,1997-08-16
51,"Ruler of Darkness",,1997-08-23
52,"To The Shining Ones",,1997-08-30
