episode_number,title,synopsis,air_date
1,"Voice from the Starry Sky",,2015-07-14
2,"A Collection of Possibilities",,2015-07-21
3,"A Song That Calls the Night",,2015-07-28
4,"All for One",,2015-08-04
5,"When the Aegis Shines",,2015-08-11
6,"The Man With the Memories of a Planet",,2015-08-18
7,"An Oath Beyond Stars",,2015-08-25
8,"X in Peril",,2015-09-08
9,"We Are Nebula!",,2015-09-15
10,"The Monster Won't Move",,2015-09-22
11,"An Unknown Friend",,2015-09-29
12,"End of the Rainbow",,2015-10-06
13,"Sword of Victory",,2015-10-13
14,"The Shining Sky, and the Land Beneath It",,2015-10-20
15,"A Soldier's Back",,2015-11-03
16,"Feature Report! 24 Hours Inside Xio",,2015-11-10
17,"My Friend's a Monster",,2015-11-17
18,"Wataru's Romance",,2015-11-24
19,"Living Together",,2015-12-01
20,"Bond -Unite-",,2015-12-08
21,"A Beautiful End",,2015-12-15
22,"The Rainbow Land",,2015-12-22
