episode_number,title,synopsis,air_date
1,"Chant My Name!",,2020-06-20
2,"A Warrior's Principles",,2020-06-27
3,"Live Coverage! The Monster Transport Operation",,2020-07-04
4,"The Second Robot Activation Plan",,2020-07-11
5,"First Juggling",,2020-07-18
6,"The Man Returns!",,2020-07-25
7,"His Majesty's Medal",,2020-08-01
8,"The Mystic Power",,2020-08-08
9,"The Unidentified Object Convoy Order",,2020-08-15
10,"Here Comes the Space Pirate!",,2020-08-22
11,"What Must Be Defended",,2020-09-05
12,"The Cry of Life",,2020-09-12
13,"I'll Feast on Medals!",,2020-09-19
14,"Four-Dimensional Capriccio",,2020-09-26
15,"A Warrior's Duty",,2020-10-03
16,"The Lion's Cry",,2020-10-10
17,"Beliarok",,2020-10-17
18,"Rechallenge from the Year 2020",,2020-10-24
19,"The Last Hero",,2020-10-31
20,"To Care and What Lies Beyond",,2020-11-14
21,"D4",,2020-11-21
22,"Individual Tomorrows",,2020-11-28
23,"Prelude to a Nightmare",,2020-12-05
24,"The Game to Extinction",,2020-12-12
25,"Warriors Shining Beyond",,2020-12-19
