episode_number,title,synopsis,air_date
1,"The W Search/Two Halves of One Detective",,2009-09-06
2,"The W Search/Those Who Make the City Grieve",,2009-09-13
3,"Don't Touch the M/How to Get to Heaven",,2009-09-20
4,"Don't Touch the M/Play With a Joker",,2009-09-27
5,"The Girl... A/Papa Is a Kamen Rider",,2009-10-04
6,"The Girl... A/The Price of Lying",,2009-10-11
7,"Find the C/Philip Can't Stand It",,2009-10-18
8,"Find the C/Dancing Hero",,2009-10-25
9,"The S Terror/The Maid Detective Witnessed It!",,2009-11-08
10,"The S Terror/The Great Detective's Daughter",,2009-11-15
11,"The Revenge V/Infected Car",,2009-11-22
12,"The Revenge V/Grudge Beast",,2009-11-29
13,"The Q on the Radio/Targeted Princess",,2009-12-06
14,"The Q on the Radio/Live Catastrophe",,2009-12-13
15,"The F Afterglow/Burglary Rider",,2009-12-20
16,"The F Afterglow/Recover Your Partner",,2010-01-03
17,"Farewell N/Memory Kids",,2010-01-10
18,"Farewell N/The Friend with the Wind",,2010-01-17
19,"The I Doesn't Stop/That Guy's Name Is Accel",,2010-01-24
20,"The I Doesn't Stop/Kamen Rider Style",,2010-01-31
21,"The T Returns/A Melody Not Intended for Women",,2010-02-07
22,"The T Returns/The Man Who Can't Die",,2010-02-14
23,"L on the Lips/Singer-SongRider",,2010-02-21
24,"L on the Lips/The Liar is You",,2010-02-28
25,"The P's Game/The Doll Has Sticky Fingers",,2010-03-07
26,"The P's Game/Akiko on the Run",,2010-03-14
27,"The D Was Watching/The Transparent Magical Lady",,2010-03-21
28,"The D Was Watching/Twin Maximum Suicide",,2010-03-28
29,"The Nightmarish H/The Melancholy of the Sleeping Princess",,2010-04-04
30,"The Nightmarish H/Who is the Prince?",,2010-04-11
31,"The B Carried on the Wind/The Beast Must Be Pursued",,2010-04-18
32,"The B Carried on the Wind/Now, in the Radiance",,2010-04-25
33,"Y's Tragedy/The Woman Looking For Yesterday",,2010-05-02
34,"Y's Tragedy/Brother and Sister",,2010-05-09
35,"Beyond the R/The Rain Called Monster Approaches",,2010-05-16
36,"Beyond the R/Surpass Them All",,2010-05-23
37,"Visitor X/The Bridge of Promises",,2010-05-30
38,"Visitor X/In the Name of the Museum",,2010-06-06
39,"The Likelihood of the G/Bad Cinema Paradise",,2010-06-20
40,"The Likelihood of the G/You Are Unforgivable",,2010-06-27
41,"The J Labyrinth/The Psychotic Villainess",,2010-07-04
42,"The J Labyrinth/The Diamond Is Hurt",,2010-07-11
43,"The O Chain/The Aged Detective",,2010-07-18
44,"The O Chain/Shroud's Confession",,2010-07-25
45,"Who the K Needs/The Devil's Tail",,2010-08-01
46,"Who the K Needs/The Last Supper",,2010-08-08
47,"The Abandoned U/A Request From Philip",,2010-08-15
48,"The Abandoned U/Eternal Partners",,2010-08-22
49,"Goodbye to the E/A Bouquet of Justice to This City",,2010-08-29
