episode_number,title,synopsis,air_date
1,"The Ringed Wizard",,2012-09-02
2,"I Want to Be a Wizard",,2012-09-09
3,"Transform! Live Broadcast",,2012-09-16
4,"The Doll and the Pianist",,2012-09-23
5,"The Deciding Match of the Contest",,2012-09-30
6,"To a Beautiful Flower",,2012-10-07
7,"Buying Memories",,2012-10-14
8,"A New Magic Stone",,2012-10-21
9,"The Dragon's Cry",,2012-10-28
10,"National Security Bureau Section 0",,2012-11-11
11,"The Promise to Defend",,2012-11-18
12,"The Wagashi of Hope",,2012-11-25
13,"The Heir to the Dream",,2012-12-02
14,"The Return of the Film Director",,2012-12-09
15,"After the Last Scene Is...",,2012-12-16
16,"The Christmas Miracle",,2012-12-23
17,"Another Wizard",,2013-01-06
18,"Magical Power Eating",,2013-01-13
19,"Today's Life, Tomorrow's Life",,2013-01-20
20,"Learning the Truth",,2013-01-27
21,"The Crazed Dance of the Dragons",,2013-02-03
23,"Deathmatch",,2013-02-17
24,"The Wizard's Grandmother",,2013-02-24
25,"Life Choices",,2013-03-03
26,"Campus Infiltration",,2013-03-10
27,"Big and Little Sisters",,2013-03-17
28,"The Stolen Belt",,2013-03-24
29,"The Evolving Wild Beast",,2013-03-31
30,"The Day Magic Disappeared",,2013-04-07
31,"Tears",,2013-04-14
32,"Part-Time Danger",,2013-04-21
33,"What Money Can't Buy",,2013-04-28
34,"The Other Side of a Popular Model",,2013-05-05
35,"The Other Side of Sora",,2013-05-12
36,"The Myna Bird Speaks",,2013-05-19
37,"Wanted: Despair",,2013-05-26
38,"Stolen Hope",,2013-06-02
39,"What Was Forgotten on the Pitch",,2013-06-09
40,"I Want to Ride a Bike",,2013-06-23
41,"The Wizard Fate",,2013-06-30
42,"The Ringed Novelist",,2013-07-07
43,"The White Wizard's Secret",,2013-07-14
44,"The Son's Keepsake",,2013-07-21
45,"The Smile in My Heart",,2013-07-28
47,"The Truth About Wiseman",,2013-08-11
48,"The Philosopher's Stone",,2013-08-18
49,"The Beginning of the Sabbath",,2013-09-01
50,"What Is Important?",,2013-09-08
51,"The Last Hope",,2013-09-15
53,"The Endless Story",,2013-09-29
