episode_number,title,synopsis,air_date
1,"The Machine World Is Mysterious!",,2021-03-07
2,"The Roaring Beast Is Troublesome!",,2021-03-14
3,"The Seriously Nununu Witch!",,2021-03-21
4,"The Trembling Big Meddler!",,2021-03-28
5,"Make Sushi or Be Made into Sushi, a Sushi Tournament!",,2021-04-04
6,"The Unpleasant and Incomprehensible Garbage Treatment!",,2021-04-11
7,"The Prince of the Demon World Is Short-Tempered!",,2021-04-18
8,"Going Door to Door to Another World?!",,2021-04-25
9,"World Pirates, Delightful and Thrilling!",,2021-05-02
10,"Blue Skies Day and Night!",,2021-05-09
11,"Everyone's Playing Tag?!",,2021-05-16
12,"Slow Snail, Hard Shell!",,2021-05-23
13,"Recycling Once Again!",,2021-05-30
14,"Duel! Zenkai vs. Twokai!",,2021-06-06
15,"Gachon! A Sharp Turn into Retro!",,2021-06-13
16,"It's a Magnet at Its Limit!",,2021-06-20
17,"Nunu, Occult Club!",,2021-06-27
18,"Life Is Short, Fall in Love at Full Throttle!",,2021-07-04
19,"Zenkai Change, Super Zenkai!",,2021-07-11
20,"Swordsman and World Pirate, a Brother's Promise.",,2021-07-18
21,"Giant Monster of Great Destruction!",,2021-08-01
22,"Let's Have a Bullfighting Party!",,2021-08-08
23,"Three Great Combinations, the Biggest Battle on Earth!",,2021-08-15
24,"Invasion Complete! Can We Take It Back?!",,2021-08-22
25,"Do It Over! Zenkaiger Revised!",,2021-08-29
26,"The Remodeled Prince and the Dark Surgeon!",,2021-09-05
27,"A Great Voyage Through Seven Worlds!",,2021-09-12
28,"Weekly Shonen Manga World of Great Illustrations!",,2021-09-19
29,"Do You Know the Prince's Aim?",,2021-09-26
30,"Is the Machine Next Door Persimmon-Eating Destruction?!",,2021-10-03
31,"Full Combination! New Release!",,2021-10-10
32,"Sakasama Gets Angry! Is That a Monkey?",,2021-10-17
33,"Great Teacher Demon Master!",,2021-10-24
34,"The Pumpkin Capturing Contest!",,2021-10-31
35,"Diamond ♦ Delight?!",,2021-11-14
36,"The Surprisingly Shocking Great Kidnapping!",,2021-11-21
37,"Grudge Radish, Deep Roots!",,2021-11-28
38,"It's the Ancestors! The Great Spirit World",,2021-12-05
39,"Happy Birthday to Infinite New Year's!",,2021-12-12
40,"Dad's Rescue, One Chance!",,2021-12-19
41,"The Noodle Rabbit Hole Goes Deep!",,2021-12-26
42,"A New Hero! A Covert Kotatsu Meeting!!",,2022-01-09
43,"The Weathercock's Head Is Directly Opposite the Wind!",,2022-01-16
44,"SD = Small + Deformed?!",,2022-01-23
45,"Super Bad Luck Is the Lowest Fortune?!",,2022-01-30
46,"A Little God Who Jumped Out!",,2022-02-06
47,"Enter the Palace! Stand Tall Before the Boss!",,2022-02-13
48,"Heaven's Vengeance Is Slow but Sure, the Fall of the Dynasty!",,2022-02-20
49,"My World, Everyone's World",,2022-02-27
