episode_number,title,synopsis,air_date
1,"I Am the President and a Kamen Rider",,2019-09-01
2,"Are AI Guys Enemies? Allies?",,2019-09-08
3,"That Man Is a Sushi Chef",,2019-09-15
4,"The Bus Guide Saw It! That Truth",,2019-09-22
5,"His Passionate Path of Manga",,2019-09-29
6,"I Want to Hear Your Voice",,2019-10-06
7,"I Am a Hot-Blooded Humagear Teacher!",,2019-10-13
8,"The Destruction Begins Now",,2019-10-20
9,"Your Life Is In My Hands",,2019-10-27
10,"I Am Shinya Owada, the Actor",,2019-11-10
11,"Keep the Camera Rolling, but Somebody Stop Him!",,2019-11-17
12,"That Ace Detective Arrives",,2019-11-24
13,"Being the Presidential Aide Is My Job",,2019-12-01
14,"We Are the Astronaut Brothers!",,2019-12-08
15,"Each One's Ending",,2019-12-15
16,"This Is the Dawn of ZAIA",,2019-12-22
17,"For I Am a President and a Kamen Rider",,2020-01-05
18,"This Is How I Arrange My Flowers",,2020-01-12
19,"She Is a Humagear Who Sells Houses",,2020-01-19
20,"That Is 1000% the Best House",,2020-01-26
21,"Objection! That Trial",,2020-02-02
22,"Even So, He Didn't Do It",,2020-02-09
23,"I Am in Love With Your Intelligence!",,2020-02-16
24,"It Is Our Turn",,2020-02-23
25,"I Will Save the Humagears",,2020-03-01
26,"We Are the Flaming Fire Brigade",,2020-03-08
27,"I Will Not Give Up on a Life",,2020-03-15
28,"My Rap Will Change the World!",,2020-03-22
29,"Our Dreams Will Not Be Broken",,2020-03-29
30,"After All, I Am the President and a Kamen Rider",,2020-04-05
31,"Take Off Toward Your Dream!",,2020-04-12
32,"My Pride! The Runway of Dreams",,2020-04-19
33,"Are Dreams Really That Important?",,2020-04-26
34,"This Is Horobi's Way of Life",,2020-05-03
35,"What Do Humagears Dream of?",,2020-05-10
36,"I Am the Ark and a Kamen Rider",,2020-06-28
37,"No One Can Stop It",,2020-07-05
38,"I Am 1000% Your Friend",,2020-07-12
39,"That Conclusion Is Unpredictable",,2020-07-19
40,"Toward Our Dream",,2020-07-26
41,"Thou, Take Thy Neighbor's Hand!",,2020-08-02
42,"As Long as There Is Malice",,2020-08-09
43,"That Is a Heart",,2020-08-16
44,"There Is Only One Person Who Can Stop You",,2020-08-23
45,"The Future of Each",,2020-08-30
