episode_number,title,synopsis,air_date
1,"Awakening",,
2,"The Zeztz Driver",,
3,"First Henshin",,
4,"Enter the Rival",,
5,"The Second Rider",,
6,"Power of the Storm",,
7,"A Fractured Truth",,
8,"The Hidden Faction",,
9,"Bonds of Steel",,
10,"The Betrayer",,
11,"Rise of the Dark Rider",,
12,"Broken Resolve",,
13,"The Third Form",,
14,"City Under Siege",,
15,"A Promise Kept",,
16,"The Scientist's Secret",,
17,"Trial by Fire",,
18,"The Lost Ally",,
19,"Echoes of the Past",,
20,"The Crimson Gambit",,
21,"New Power Unleashed",,
22,"The Fallen Hero",,
23,"Reckoning",,
24,"The Enemy Within",,
25,"Halfway to Zero",,
26,"The Ultimate Driver",,
27,"Shadows Converge",,
28,"A Rider's Duty",,
29,"The Price of Power",,
30,"Fractures of Fate",,
31,"The Return",,
32,"Two Riders, One Path",,
33,"The Final Faction",,
34,"Storm's End",,
35,"The Truth Revealed",,
36,"Descent",,
37,"The Last Transformation",,
38,"Against All Odds",,
39,"The Dark Hour",,
40,"Rekindled",,
41,"The Penultimate Battle",,
42,"No Turning Back",,
43,"The Sacrifice",,
44,"Zero Point",,
45,"The Final Rival",,
46,"Legacy",,
47,"All-Out War",,
48,"The Ultimate Form",,
49,"Destiny's Edge",,
50,"Zeztz Forever",,
