episode_number,title,synopsis,air_date
1,"Kingdom 2068",,2018-09-02
2,"Best Match 2017",,2018-09-09
3,"Doctor Gamer 2018",,2018-09-16
4,"No Continue 2016",,2018-09-23
5,"Switch On! 2011",,2018-09-30
6,"555・913・2003",,2018-10-07
7,"Magic Showtime 2018",,2018-10-14
8,"Beauty & Beast 2012",,2018-10-21
9,"Genm Master 2016",,2018-10-28
10,"Hawk, Tiger, and Grasshopper 2010",,2018-11-11
11,"Zi-O on Parade 2018",,2018-11-18
12,"My × My Stage 2013",,2018-11-25
13,"Ghost Hunter 2018",,2018-12-02
14,"Go! Go! Ghost 2015",,2018-12-09
15,"Back to 2068",,2018-12-16
16,"Forever King 2018",,2018-12-23
17,"Happy New Woz 2019",,2019-01-06
18,"Amazing! Era! Future! 2022",,2019-01-13
19,"The Quiz Shock 2040",,2019-01-20
20,"Final Answer? 2040",,2019-01-27
21,"Mirror World 2019",,2019-02-03
22,"Zi-O Strongest! 2019",,2019-02-10
23,"It is Kikai! 2121",,2019-02-17
24,"Best Friend 2121",,2019-02-24
25,"Another Zi-O 2019",,2019-03-03
26,"GeizRevive! 2019",,2019-03-10
27,"Where It All Began 2009",,2019-03-17
28,"Our Goal 2019",,2019-03-24
29,"Blade Joker!? 2019",,2019-03-31
30,"2019: Trinity Has Begun!",,2019-04-07
31,"2001: Awaken, the Agito!",,2019-04-14
32,"2001: Unknown Memories",,2019-04-21
33,"2005: Rejoice! Echo! Roar!",,2019-04-28
34,"2019: Heisei's Oni, Reiwa's Oni",,2019-05-05
35,"2008: First Love, Wake Up!",,2019-05-12
36,"2019: First Love, Finaly!",,2019-05-19
37,"2006: Next Level Kabuto",,2019-05-26
38,"2019: The One Chosen by Kabuto",,2019-06-02
39,"2007: DenLiner Crash!",,2019-06-09
40,"2017: Grand Climax!",,2019-06-23
41,"2019: World, Reset",,2019-06-30
42,"2019: Missing World",,2019-07-07
43,"2019: Tsukuyomi Confidential",,2019-07-14
44,"2019: The Call of Aqua",,2019-07-21
45,"2019: Eternal Party",,2019-07-28
46,"2019: Operation Woz",,2019-08-04
47,"2019: The Vanishing Watches",,2019-08-11
48,"2068: Ohma Time",,2019-08-18
49,"2019: Apocalypse",,2019-08-25
